,_id,ltable_id,rtable_id,ltable_title,ltable_authors,ltable_year,rtable_title,rtable_authors,rtable_year
16,16,conf/sigmod/2000,url:http://portal.acm.org/citation.cfm%3Fid%3D191839,"proceedings of the 2000 acm sigmod international conference on management of data, may 16-18, 2000, dallas, texas, usa",,2000,source international conference on management of data archive,"rt snodgrass, m winslett",1994
17,17,conf/sigmod/2000,url:http://portal.acm.org/citation.cfm%3Fid%3D223784%26dl%3DGUIDE%26dl%3DACM%26type%3Dproceeding%26idx%3D223784%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%26CFID%3D11111111%26CFTOKEN%3D2222222,"proceedings of the 2000 acm sigmod international conference on management of data, may 16-18, 2000, dallas, texas, usa",,2000,source international conference on management of data archive,"m carey, d schneider",1995
18,18,conf/sigmod/2000,url:http://portal.acm.org/citation.cfm%3Fid%3D233269%26dl%3DGUIDE%26dl%3DGUIDE%26type%3Dproceeding%26idx%3D233269%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%2520and%2520Symposium%2520on%2520Principles%2520of%2520Database%2520Systems%26CFID%3D11111111%26CFTOKEN%3D2222222,"proceedings of the 2000 acm sigmod international conference on management of data, may 16-18, 2000, dallas, texas, usa",,2000,source international conference on management of data archive,j widom,1996
19,19,conf/sigmod/2000,url:http://portal.acm.org/citation.cfm%3Fid%3D253260%26dl%3DGUIDE%26dl%3DGUIDE%26type%3Dproceeding%26idx%3DSERIES473%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%2520and%2520Symposium%2520on%2520Principles%2520of%2520Database%2520Systems%26CFID%3D11111111%26CFTOKEN%3D2222222,"proceedings of the 2000 acm sigmod international conference on management of data, may 16-18, 2000, dallas, texas, usa",,2000,source international conference on management of data archive,"jm peckman, s ram, m franklin",1997
20,20,conf/sigmod/2000,url:http://portal.acm.org/citation.cfm%3Fid%3D276304%26dl%3DACM%26coll%3Dportal%26CFID%3D11111111%26CFTOKEN%3D2222222,"proceedings of the 2000 acm sigmod international conference on management of data, may 16-18, 2000, dallas, texas, usa",,2000,source international conference on management of data archive,"a tiwary, m franklin",1998
21,21,conf/sigmod/2000,url:http://portal.acm.org/citation.cfm%3Fid%3D342009.335494%26dl%3DGUIDE%26dl%3DGUIDE%26type%3Dseries%26idx%3D342009%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%26CFID%3D11111111%26CFTOKEN%3D2222222,"proceedings of the 2000 acm sigmod international conference on management of data, may 16-18, 2000, dallas, texas, usa",,2000,full text pdf format pdf (1.48 mb)source international conference on management of data archive,"l fegaras, c srinivasan, a rajendran, d maier",2000
22,22,conf/sigmod/2000,url:http://portal.acm.org/citation.cfm%3Fid%3D38713,"proceedings of the 2000 acm sigmod international conference on management of data, may 16-18, 2000, dallas, texas, usa",,2000,source international conference on management of data archive,u dayal,1987
23,23,conf/sigmod/2000,url:http://portal.acm.org/citation.cfm%3Fid%3D38713.38742,"proceedings of the 2000 acm sigmod international conference on management of data, may 16-18, 2000, dallas, texas, usa",,2000,full text pdf format pdf (1.24 mb)source international conference on management of data archive,"h garcia-molina, k salem",1987
24,24,conf/sigmod/2000,url:http://portal.acm.org/citation.cfm%3Fid%3D50202%26dl%3DGUIDE%26dl%3DGUIDE%26type%3Dproceeding%26idx%3D50202%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%26CFID%3D11111111%26CFTOKEN%3D2222222,"proceedings of the 2000 acm sigmod international conference on management of data, may 16-18, 2000, dallas, texas, usa",,2000,source international conference on management of data archive,"h boral, pa larson",1988
25,25,conf/sigmod/2000,url:http://portal.acm.org/citation.cfm%3Fid%3D582192,"proceedings of the 2000 acm sigmod international conference on management of data, may 16-18, 2000, dallas, texas, usa",,2000,source international conference on management of data archive,m stonebraker,1992
26,26,conf/sigmod/2000,url:http://portal.acm.org/citation.cfm%3Fid%3D67544%26dl%3DACM%26coll%3DGUIDE%26CFID%3D11111111%26CFTOKEN%3D2222222,"proceedings of the 2000 acm sigmod international conference on management of data, may 16-18, 2000, dallas, texas, usa",,2000,source international conference on management of data archive,j clifford,1991
27,27,conf/sigmod/2000,vfTH6FzOpDAJ,"proceedings of the 2000 acm sigmod international conference on management of data, may 16-18, 2000, dallas, texas, usa",,2000,data modeling of time-based media. in: proceedings of the 1994 acm sigmod international conference  ,"s gibbs, c breiteneder, d tsichritzis",1994
28,28,conf/sigmod/2000,wDROrlvC5JEJ,"proceedings of the 2000 acm sigmod international conference on management of data, may 16-18, 2000, dallas, texas, usa",,2000,"a benchmark package for sparse computations, proceedings of the 1988 international conference on  ","y saad, hag wijshoff",1988
29,29,conf/sigmod/2002,19VIHSiMAXcJ,"proceedings of the 2002 acm sigmod international conference on management of data, madison, wisconsin, june 3-6, 2002",,2002,carnot and infosleuth-database technology and the www. acm sigmod intern. conf. on management of  ,"n jacobs, r shea",0
30,30,conf/sigmod/2002,2DtY9exkFcgJ,"proceedings of the 2002 acm sigmod international conference on management of data, madison, wisconsin, june 3-6, 2002",,2002,"umform techniques for loop optimization, in proceedings of the acm international conference on  ",w pugh,1991
31,31,conf/sigmod/2002,5k-GwvznWRUJ,"proceedings of the 2002 acm sigmod international conference on management of data, madison, wisconsin, june 3-6, 2002",,2002,discover: keyword search in relational databases in proceedings of the international conference on  ,"v hristidis, y papakonstantinou",0
32,32,conf/sigmod/2002,5wcgt7bNx7YJ,"proceedings of the 2002 acm sigmod international conference on management of data, madison, wisconsin, june 3-6, 2002",,2002,"shoring up persistent applications, acm sigmod international conference on management of data","mj carey, dj dewitt, mj franklinâ?¦",0
33,33,conf/sigmod/2002,CpwYam_LYyEJ,"proceedings of the 2002 acm sigmod international conference on management of data, madison, wisconsin, june 3-6, 2002",,2002,on predicting data cache behavior for real {time systems. in proceedings of the acm sigplan workshop ,"c ferdinand, r wilhelm",0
34,34,conf/sigmod/2002,F9KzvnDpCPUJ,"proceedings of the 2002 acm sigmod international conference on management of data, madison, wisconsin, june 3-6, 2002",,2002,similarity-based queries for time series data. in: proceedings of the acm sigmod conference on the  ,"d raflei, a mendelzon",1997
35,35,conf/sigmod/2002,QnMrKru1S1MJ,"proceedings of the 2002 acm sigmod international conference on management of data, madison, wisconsin, june 3-6, 2002",,2002,"blocation-based spatial queries,^ in proceedings of the acm international conference on management  ","j zhang, m zhu, d papadias, y tao, dl lee",2003
36,36,conf/sigmod/2002,Ri6JE0J3-NgJ,"proceedings of the 2002 acm sigmod international conference on management of data, madison, wisconsin, june 3-6, 2002",,2002,"the trec-8 question answering system track, in the proceedings of second international conference on ","em vorhees, dm tice",0
37,37,conf/sigmod/2002,SHYtwo2v-LAJ,"proceedings of the 2002 acm sigmod international conference on management of data, madison, wisconsin, june 3-6, 2002",,2002,w3qs: a query system for the world-wide webâ» in proceedings of the 21st international conference on ,"d konopnicki, o shmueli",0
38,38,conf/sigmod/2002,dXGsVhYx06QJ,"proceedings of the 2002 acm sigmod international conference on management of data, madison, wisconsin, june 3-6, 2002",,2002,"sigirâ??95, proceedings of the 18th annual international acm sigir conference on research and  ","e fox, p ingwersen, r fidel",1995
39,39,conf/sigmod/2002,txG0FI1jy6IJ,"proceedings of the 2002 acm sigmod international conference on management of data, madison, wisconsin, june 3-6, 2002",,2002,data transformations for eliminating conflict misses proceedings of the 1998 acm sigplan conference  ,"g rivera, cw tseng",0
40,40,conf/sigmod/2002,url:http://portal.acm.org/citation.cfm%3Fcoll%3DGUIDE%26dl%3DGUIDE%26id%3D276377,"proceedings of the 2002 acm sigmod international conference on management of data, madison, wisconsin, june 3-6, 2002",,2002,full text pdf format pdf (424 kb)source international conference on management of data archive,"c olston, a woodruff, a aiken, m chu, v ercegovac, ",1998
41,41,conf/sigmod/2002,url:http://portal.acm.org/citation.cfm%3Fdoid%3D375663,"proceedings of the 2002 acm sigmod international conference on management of data, madison, wisconsin, june 3-6, 2002",,2002,source international conference on management of data archive,"s mehrotra, t sellis",2001
42,42,conf/sigmod/2002,url:http://portal.acm.org/citation.cfm%3Fid%3D16894%26dl%3DGUIDE%26dl%3DGUIDE%26type%3Dproceeding%26idx%3D16894%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%2520and%2520Symposium%2520on%2520Principles%2520of%2520Database%2520Systems%26CFID%3D11111111%26CFTOKEN%3D2222222,"proceedings of the 2002 acm sigmod international conference on management of data, madison, wisconsin, june 3-6, 2002",,2002,source international conference on management of data archive,c zaniolo,1986
43,43,conf/sigmod/2002,url:http://portal.acm.org/citation.cfm%3Fid%3D170035%26dl%3DGUIDE%26dl%3DGUIDE%26type%3Dproceeding%26idx%3D170035%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%2520and%2520Symposium%2520on%2520Principles%2520of%2520Database%2520Systems%26CFID%3D11111111%26CFTOKEN%3D2222222,"proceedings of the 2002 acm sigmod international conference on management of data, madison, wisconsin, june 3-6, 2002",,2002,source international conference on management of data archive,"p buneman, s jajodia",1993
44,44,conf/sigmod/2002,url:http://portal.acm.org/citation.cfm%3Fid%3D191839,"proceedings of the 2002 acm sigmod international conference on management of data, madison, wisconsin, june 3-6, 2002",,2002,source international conference on management of data archive,"rt snodgrass, m winslett",1994
45,45,conf/sigmod/2002,url:http://portal.acm.org/citation.cfm%3Fid%3D223784%26dl%3DGUIDE%26dl%3DACM%26type%3Dproceeding%26idx%3D223784%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%26CFID%3D11111111%26CFTOKEN%3D2222222,"proceedings of the 2002 acm sigmod international conference on management of data, madison, wisconsin, june 3-6, 2002",,2002,source international conference on management of data archive,"m carey, d schneider",1995
46,46,conf/sigmod/2002,url:http://portal.acm.org/citation.cfm%3Fid%3D233269%26dl%3DGUIDE%26dl%3DGUIDE%26type%3Dproceeding%26idx%3D233269%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%2520and%2520Symposium%2520on%2520Principles%2520of%2520Database%2520Systems%26CFID%3D11111111%26CFTOKEN%3D2222222,"proceedings of the 2002 acm sigmod international conference on management of data, madison, wisconsin, june 3-6, 2002",,2002,source international conference on management of data archive,j widom,1996
47,47,conf/sigmod/2002,url:http://portal.acm.org/citation.cfm%3Fid%3D253260%26dl%3DGUIDE%26dl%3DGUIDE%26type%3Dproceeding%26idx%3DSERIES473%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%2520and%2520Symposium%2520on%2520Principles%2520of%2520Database%2520Systems%26CFID%3D11111111%26CFTOKEN%3D2222222,"proceedings of the 2002 acm sigmod international conference on management of data, madison, wisconsin, june 3-6, 2002",,2002,source international conference on management of data archive,"jm peckman, s ram, m franklin",1997
48,48,conf/sigmod/2002,url:http://portal.acm.org/citation.cfm%3Fid%3D276304%26dl%3DACM%26coll%3Dportal%26CFID%3D11111111%26CFTOKEN%3D2222222,"proceedings of the 2002 acm sigmod international conference on management of data, madison, wisconsin, june 3-6, 2002",,2002,source international conference on management of data archive,"a tiwary, m franklin",1998
49,49,conf/sigmod/2002,url:http://portal.acm.org/citation.cfm%3Fid%3D342009.335494%26dl%3DGUIDE%26dl%3DGUIDE%26type%3Dseries%26idx%3D342009%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%26CFID%3D11111111%26CFTOKEN%3D2222222,"proceedings of the 2002 acm sigmod international conference on management of data, madison, wisconsin, june 3-6, 2002",,2002,full text pdf format pdf (1.48 mb)source international conference on management of data archive,"l fegaras, c srinivasan, a rajendran, d maier",2000
50,50,conf/sigmod/2002,url:http://portal.acm.org/citation.cfm%3Fid%3D38713,"proceedings of the 2002 acm sigmod international conference on management of data, madison, wisconsin, june 3-6, 2002",,2002,source international conference on management of data archive,u dayal,1987
51,51,conf/sigmod/2002,url:http://portal.acm.org/citation.cfm%3Fid%3D38713.38742,"proceedings of the 2002 acm sigmod international conference on management of data, madison, wisconsin, june 3-6, 2002",,2002,full text pdf format pdf (1.24 mb)source international conference on management of data archive,"h garcia-molina, k salem",1987
52,52,conf/sigmod/2002,url:http://portal.acm.org/citation.cfm%3Fid%3D50202%26dl%3DGUIDE%26dl%3DGUIDE%26type%3Dproceeding%26idx%3D50202%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%26CFID%3D11111111%26CFTOKEN%3D2222222,"proceedings of the 2002 acm sigmod international conference on management of data, madison, wisconsin, june 3-6, 2002",,2002,source international conference on management of data archive,"h boral, pa larson",1988
53,53,conf/sigmod/2002,url:http://portal.acm.org/citation.cfm%3Fid%3D582192,"proceedings of the 2002 acm sigmod international conference on management of data, madison, wisconsin, june 3-6, 2002",,2002,source international conference on management of data archive,m stonebraker,1992
54,54,conf/sigmod/2002,url:http://portal.acm.org/citation.cfm%3Fid%3D67544%26dl%3DACM%26coll%3DGUIDE%26CFID%3D11111111%26CFTOKEN%3D2222222,"proceedings of the 2002 acm sigmod international conference on management of data, madison, wisconsin, june 3-6, 2002",,2002,source international conference on management of data archive,j clifford,1991
55,55,conf/sigmod/2002,vfTH6FzOpDAJ,"proceedings of the 2002 acm sigmod international conference on management of data, madison, wisconsin, june 3-6, 2002",,2002,data modeling of time-based media. in: proceedings of the 1994 acm sigmod international conference  ,"s gibbs, c breiteneder, d tsichritzis",1994
56,56,conf/sigmod/2002,wDROrlvC5JEJ,"proceedings of the 2002 acm sigmod international conference on management of data, madison, wisconsin, june 3-6, 2002",,2002,"a benchmark package for sparse computations, proceedings of the 1988 international conference on  ","y saad, hag wijshoff",1988
57,57,conf/sigmod/2003,19VIHSiMAXcJ,"proceedings of the 2003 acm sigmod international conference on management of data, san diego, california, usa, june 9-12, 2003",,2003,carnot and infosleuth-database technology and the www. acm sigmod intern. conf. on management of  ,"n jacobs, r shea",0
58,58,conf/sigmod/2003,2DtY9exkFcgJ,"proceedings of the 2003 acm sigmod international conference on management of data, san diego, california, usa, june 9-12, 2003",,2003,"umform techniques for loop optimization, in proceedings of the acm international conference on  ",w pugh,1991
59,59,conf/sigmod/2003,5k-GwvznWRUJ,"proceedings of the 2003 acm sigmod international conference on management of data, san diego, california, usa, june 9-12, 2003",,2003,discover: keyword search in relational databases in proceedings of the international conference on  ,"v hristidis, y papakonstantinou",0
60,60,conf/sigmod/2003,5wcgt7bNx7YJ,"proceedings of the 2003 acm sigmod international conference on management of data, san diego, california, usa, june 9-12, 2003",,2003,"shoring up persistent applications, acm sigmod international conference on management of data","mj carey, dj dewitt, mj franklinâ?¦",0
61,61,conf/sigmod/2003,CpwYam_LYyEJ,"proceedings of the 2003 acm sigmod international conference on management of data, san diego, california, usa, june 9-12, 2003",,2003,on predicting data cache behavior for real {time systems. in proceedings of the acm sigplan workshop ,"c ferdinand, r wilhelm",0
62,62,conf/sigmod/2003,F9KzvnDpCPUJ,"proceedings of the 2003 acm sigmod international conference on management of data, san diego, california, usa, june 9-12, 2003",,2003,similarity-based queries for time series data. in: proceedings of the acm sigmod conference on the  ,"d raflei, a mendelzon",1997
63,63,conf/sigmod/2003,GbKwENZEG40J,"proceedings of the 2003 acm sigmod international conference on management of data, san diego, california, usa, june 9-12, 2003",,2003,"conf. on management of data, san diego, ca",bs int,0
64,64,conf/sigmod/2003,QnMrKru1S1MJ,"proceedings of the 2003 acm sigmod international conference on management of data, san diego, california, usa, june 9-12, 2003",,2003,"blocation-based spatial queries,^ in proceedings of the acm international conference on management  ","j zhang, m zhu, d papadias, y tao, dl lee",2003
65,65,conf/sigmod/2003,Ri6JE0J3-NgJ,"proceedings of the 2003 acm sigmod international conference on management of data, san diego, california, usa, june 9-12, 2003",,2003,"the trec-8 question answering system track, in the proceedings of second international conference on ","em vorhees, dm tice",0
66,66,conf/sigmod/2003,SHYtwo2v-LAJ,"proceedings of the 2003 acm sigmod international conference on management of data, san diego, california, usa, june 9-12, 2003",,2003,w3qs: a query system for the world-wide webâ» in proceedings of the 21st international conference on ,"d konopnicki, o shmueli",0
67,67,conf/sigmod/2003,dXGsVhYx06QJ,"proceedings of the 2003 acm sigmod international conference on management of data, san diego, california, usa, june 9-12, 2003",,2003,"sigirâ??95, proceedings of the 18th annual international acm sigir conference on research and  ","e fox, p ingwersen, r fidel",1995
68,68,conf/sigmod/2003,txG0FI1jy6IJ,"proceedings of the 2003 acm sigmod international conference on management of data, san diego, california, usa, june 9-12, 2003",,2003,data transformations for eliminating conflict misses proceedings of the 1998 acm sigplan conference  ,"g rivera, cw tseng",0
69,69,conf/sigmod/2003,url:http://portal.acm.org/citation.cfm%3Fcoll%3DGUIDE%26dl%3DGUIDE%26id%3D276377,"proceedings of the 2003 acm sigmod international conference on management of data, san diego, california, usa, june 9-12, 2003",,2003,full text pdf format pdf (424 kb)source international conference on management of data archive,"c olston, a woodruff, a aiken, m chu, v ercegovac, ",1998
70,70,conf/sigmod/2003,url:http://portal.acm.org/citation.cfm%3Fdoid%3D375663,"proceedings of the 2003 acm sigmod international conference on management of data, san diego, california, usa, june 9-12, 2003",,2003,source international conference on management of data archive,"s mehrotra, t sellis",2001
71,71,conf/sigmod/2003,url:http://portal.acm.org/citation.cfm%3Fid%3D16894%26dl%3DGUIDE%26dl%3DGUIDE%26type%3Dproceeding%26idx%3D16894%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%2520and%2520Symposium%2520on%2520Principles%2520of%2520Database%2520Systems%26CFID%3D11111111%26CFTOKEN%3D2222222,"proceedings of the 2003 acm sigmod international conference on management of data, san diego, california, usa, june 9-12, 2003",,2003,source international conference on management of data archive,c zaniolo,1986
72,72,conf/sigmod/2003,url:http://portal.acm.org/citation.cfm%3Fid%3D170035%26dl%3DGUIDE%26dl%3DGUIDE%26type%3Dproceeding%26idx%3D170035%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%2520and%2520Symposium%2520on%2520Principles%2520of%2520Database%2520Systems%26CFID%3D11111111%26CFTOKEN%3D2222222,"proceedings of the 2003 acm sigmod international conference on management of data, san diego, california, usa, june 9-12, 2003",,2003,source international conference on management of data archive,"p buneman, s jajodia",1993
73,73,conf/sigmod/2003,url:http://portal.acm.org/citation.cfm%3Fid%3D191839,"proceedings of the 2003 acm sigmod international conference on management of data, san diego, california, usa, june 9-12, 2003",,2003,source international conference on management of data archive,"rt snodgrass, m winslett",1994
74,74,conf/sigmod/2003,url:http://portal.acm.org/citation.cfm%3Fid%3D223784%26dl%3DGUIDE%26dl%3DACM%26type%3Dproceeding%26idx%3D223784%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%26CFID%3D11111111%26CFTOKEN%3D2222222,"proceedings of the 2003 acm sigmod international conference on management of data, san diego, california, usa, june 9-12, 2003",,2003,source international conference on management of data archive,"m carey, d schneider",1995
75,75,conf/sigmod/2003,url:http://portal.acm.org/citation.cfm%3Fid%3D233269%26dl%3DGUIDE%26dl%3DGUIDE%26type%3Dproceeding%26idx%3D233269%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%2520and%2520Symposium%2520on%2520Principles%2520of%2520Database%2520Systems%26CFID%3D11111111%26CFTOKEN%3D2222222,"proceedings of the 2003 acm sigmod international conference on management of data, san diego, california, usa, june 9-12, 2003",,2003,source international conference on management of data archive,j widom,1996
76,76,conf/sigmod/2003,url:http://portal.acm.org/citation.cfm%3Fid%3D253260%26dl%3DGUIDE%26dl%3DGUIDE%26type%3Dproceeding%26idx%3DSERIES473%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%2520and%2520Symposium%2520on%2520Principles%2520of%2520Database%2520Systems%26CFID%3D11111111%26CFTOKEN%3D2222222,"proceedings of the 2003 acm sigmod international conference on management of data, san diego, california, usa, june 9-12, 2003",,2003,source international conference on management of data archive,"jm peckman, s ram, m franklin",1997
77,77,conf/sigmod/2003,url:http://portal.acm.org/citation.cfm%3Fid%3D276304%26dl%3DACM%26coll%3Dportal%26CFID%3D11111111%26CFTOKEN%3D2222222,"proceedings of the 2003 acm sigmod international conference on management of data, san diego, california, usa, june 9-12, 2003",,2003,source international conference on management of data archive,"a tiwary, m franklin",1998
78,78,conf/sigmod/2003,url:http://portal.acm.org/citation.cfm%3Fid%3D342009.335494%26dl%3DGUIDE%26dl%3DGUIDE%26type%3Dseries%26idx%3D342009%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%26CFID%3D11111111%26CFTOKEN%3D2222222,"proceedings of the 2003 acm sigmod international conference on management of data, san diego, california, usa, june 9-12, 2003",,2003,full text pdf format pdf (1.48 mb)source international conference on management of data archive,"l fegaras, c srinivasan, a rajendran, d maier",2000
79,79,conf/sigmod/2003,url:http://portal.acm.org/citation.cfm%3Fid%3D38713,"proceedings of the 2003 acm sigmod international conference on management of data, san diego, california, usa, june 9-12, 2003",,2003,source international conference on management of data archive,u dayal,1987
80,80,conf/sigmod/2003,url:http://portal.acm.org/citation.cfm%3Fid%3D38713.38742,"proceedings of the 2003 acm sigmod international conference on management of data, san diego, california, usa, june 9-12, 2003",,2003,full text pdf format pdf (1.24 mb)source international conference on management of data archive,"h garcia-molina, k salem",1987
81,81,conf/sigmod/2003,url:http://portal.acm.org/citation.cfm%3Fid%3D50202%26dl%3DGUIDE%26dl%3DGUIDE%26type%3Dproceeding%26idx%3D50202%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%26CFID%3D11111111%26CFTOKEN%3D2222222,"proceedings of the 2003 acm sigmod international conference on management of data, san diego, california, usa, june 9-12, 2003",,2003,source international conference on management of data archive,"h boral, pa larson",1988
82,82,conf/sigmod/2003,url:http://portal.acm.org/citation.cfm%3Fid%3D582192,"proceedings of the 2003 acm sigmod international conference on management of data, san diego, california, usa, june 9-12, 2003",,2003,source international conference on management of data archive,m stonebraker,1992
83,83,conf/sigmod/2003,url:http://portal.acm.org/citation.cfm%3Fid%3D67544%26dl%3DACM%26coll%3DGUIDE%26CFID%3D11111111%26CFTOKEN%3D2222222,"proceedings of the 2003 acm sigmod international conference on management of data, san diego, california, usa, june 9-12, 2003",,2003,source international conference on management of data archive,j clifford,1991
