,_id,ltable_id,rtable_id,ltable_title,ltable_authors,ltable_year,rtable_title,rtable_authors,rtable_year,label
98,98,conf/sigmod/AbiteboulCM95,-cQmLk2JnawJ,a database interface for file updates,"s abiteboul, s cluet, t milo",1995,querying the le,"s abiteboul, s cluet, t milo",0,0
100,100,conf/sigmod/AbiteboulCM95,DakOA4Ew-poJ,a database interface for file updates,"s abiteboul, s cluet, t milo",1995,a database interface for files update. to appear:,"s abiteboul, s cluet, t milo",0,1
102,102,conf/sigmod/AbiteboulCM95,XTa-ElbpjZ8J,a database interface for file updates,"s abiteboul, s cluet, t milo",1995,a logical view of structured les,"s abiteboul, s cluet, t milo",0,0
107,107,conf/sigmod/AcharyaAFZ95,2fO9nM2FoGYJ,broadcast disks: data management for asymmetric communications environments,"s acharya, r alonso, m franklin, s zdonik",1995,broadcast disks: data management for asymmet-0 20 40 60 80 100 percentage of dont_care implimit  ,"s acharya, r alonso, m franklin, s zdonik",0,1
111,111,conf/sigmod/AcharyaAFZ95,_-yXA5HLnqoJ,broadcast disks: data management for asymmetric communications environments,"s acharya, r alonso, m franklin, s zdonik",1995,broadcast disks: data management for asymmetric communications environments,"sa vi, r alonso, m franklin, s zdonik",0,1
116,116,conf/sigmod/AcharyaAFZ95,rO4-yA3tlfoJ,broadcast disks: data management for asymmetric communications environments,"s acharya, r alonso, m franklin, s zdonik",1995,broadcast disks: data management for asymmetric communication environments,"s acharya, r alonso, m franklin, s zdonik",1995,1
118,118,conf/sigmod/AcharyaFZ97,4AK08s31YqUJ,balancing push and pull for data broadcast,"s acharya, m franklin, s zdonik",1997,disseminating updates onbroadcastdisks,"s acharya, m franklin, s zdonik",0,0
122,122,conf/sigmod/AcharyaFZ97,QCAu6wPhnAAJ,balancing push and pull for data broadcast,"s acharya, m franklin, s zdonik",1997,balancing push and pull for data broadcast,"a swarup, m franklin, s zdonik",0,1
140,140,conf/sigmod/AcharyaGPR99a,s064OghlyIUJ,join synopses for approximate query answering,"s acharya, p gibbons, v poosala, s ramaswamy",1999,the aqua approximate query answering system,"s acharya, pb gibbons, v poosala, s ramaswamy",1999,0
157,157,conf/sigmod/AdaliSS99,c2dH5RxNj6kJ,a multimedia presentation algebra,"s adali, m sapino, v subrahmanian",1999,a multimedia presentation algebra,"s adalä±, ml sapino, vs subrahmanian",1999,1
164,164,conf/sigmod/Adelberg98,lyTJMJmpo8IJ,nodose - a tool for semi-automatically extracting semi-structured data from text documents,b adelberg,1998,tool for semi-automatically extracting structured and semistructured data from text documents,"b adelberg, a nodose",0,1
181,181,conf/sigmod/Agarwal96,Ca-BABwlsQAJ,a super scalar sort algorithm for risc processors,r agarwal,1996,a super scalar sort algorithm for risc processors,rc agarwrd,0,1
186,186,conf/sigmod/Aggarwal02,KLa8Evw3tzEJ,"hierarchical subspace sampling: a unified framework for high dimensional data reduction, selectivity estimation and nearest neighbor search",c aggarwal,2002,efficient search for approximate nearest neighbor in high dimensional spaces,"e kushilevitz, r ostrovsky, y rabani",0,0
188,188,conf/sigmod/Aggarwal02,enJfjyR_MLwJ,"hierarchical subspace sampling: a unified framework for high dimensional data reduction, selectivity estimation and nearest neighbor search",c aggarwal,2002,"an efficient subspace sampling framework for high-dimensional data reduction, selectivity estimation ",se reduction,2004,0
215,215,conf/sigmod/AgrawalCD02,iABZEL2Zoz8J,dbxplorer: enabling keyword search over relational databases,"s agrawal, s chaudhuri, g das",2002,dbxplorer: enabling keyword search over relational databases,"s agrawal, s chaudhuri, g das",2002,1
217,217,conf/sigmod/AgrawalCFGHIIMMSS94,bXnzC8MN_joJ,quest: a project on database mining,"r agrawal, m carey, c faloutsos, s ghosh, m houtsma, t imielinski, b iyer, a mahboob, h miranda, r srikant, a swami",1994,quest: a project on database mining,r agrawal,0,1
221,221,conf/sigmod/AgrawalCN01,3s20zaTMLZQJ,materialized view and index selection tool for microsoft sql server 2000,"s agrawal, s chaudhuri, v narasayya",2001,automated selection of materialized views and indexes in microsoft sql server,"a sanjay, c surajit, vr narasayya",0,0
223,223,conf/sigmod/AgrawalCN01,VM1LnO9kjuoJ,materialized view and index selection tool for microsoft sql server 2000,"s agrawal, s chaudhuri, v narasayya",2001,white paper: microsoft index selection tool for sql server,"s ghaudhuri, v narasayya",1998,0
227,227,conf/sigmod/AgrawalGGR98,1rW7ao6gK-QJ,automatic subspace clustering of high dimensional data for data mining applications,"r agrawal, j gehrke, d gunopulos, p raghavan",1998,automatic subspace clustering of high dimensional data for data mining applications,"r agarwal, j gehrke, d gunopolos, p raghavan",0,1
245,245,conf/sigmod/AgrawalS00,2Z_X3zsf4CoJ,privacy-preserving data mining,"r agrawal, r srikant",2000,"fast algorithms for mining association rules in large databasesâ», bocca jb, jarke m., zaniolo c.,  ","r agrawal, r srikant",0,0
257,257,conf/sigmod/AgrawalS00,nDgZsMNOofwJ,privacy-preserving data mining,"r agrawal, r srikant",2000,jorge b. bocca and matthias jarke and carlo zaniolo,"r agrawal, r srikant",0,0
267,267,conf/sigmod/AltinelABFSZ99,WZDgK2THjbQJ,dbis-toolkit: adaptable middleware for large scale data delivery,"m altinel, d aksoy, t baby, m franklin, w shapiro, s zdonik",1999,dbis toolkit: adaptable middleware for large scale data delivery (demo description),"m altinel, d aksoy, t baby, m franklin, w shapiro, ",0,1
289,289,conf/sigmod/AnkerstBKS99,hEemQ37_mPcJ,optics: ordering points to identify the clustering structure,"m ankerst, m breunig, h kriegel, j sander",1999,"m., kriegel, h.-p. and sander, j., 1999, optics: ordering points to identify the clustering  ","m ankerst, m breunig",0,1
303,303,conf/sigmod/Arpaci-DusseauACHP97,E_eOZJYat6IJ,high-performance sorting on networks of workstations,"a arpaci-dusseau, r arpaci-dusseau, d culler, j hellerstein, d patterson",1997,high-performance sorting on networks of workstations,"ac dusseau, rha dusseau, de culler, jm hellerstein ",0,1
328,328,conf/sigmod/AtzeniT97,Qu1sEXDXeHIJ,mdm: a multiple-data-model tool for the management of heterogeneous database schemes,"p atzeni, r torlone",1997,updating relational databases through weak instance interfaces,"p atzeni, r torlone",1992,0
332,332,conf/sigmod/AtzeniT97,sl5fFaV_DUQJ,mdm: a multiple-data-model tool for the management of heterogeneous database schemes,"p atzeni, r torlone",1997,a toolkit for the incremental implementation of heterogeneous database management systems,"p drew, r king, d heimbigner",1992,0
338,338,conf/sigmod/BabcockBDM03,a2wqpKma5J4J,chain : operator scheduling for memory minimization in data stream systems,"b babcock, s babu, m datar, r motwani",2003,chain : operator scheduling for memory minimization in data stream systems,"b babcock, s babu, m datar, r motwani",2003,1
343,343,conf/sigmod/BabcockO03,acnzsOLHFywJ,distributed top-k monitoring,"b babcock, c olston",2003,distributed top-k monitoring,"b babcock, c olston",0,1
348,348,conf/sigmod/Ballinger94,xGGBIZmLvmgJ,evolving teradata decision support for massively parallel processing with unix,c ballinger,1994,evolving teradata decision support for massively parallel processing with unix,c ballinger,1994,1
355,355,conf/sigmod/BarbaraI94,bTYTn8VG5hIJ,sleepers and workaholics: caching strategies in mobile environments,"d barbarï¿½, t imielinski",1994,"ã¢â?¬ å?sleepers and workaholics: caching strategies for mobile environments, ã¢â?¬â?","d barbara, t imielinski",0,1
358,358,conf/sigmod/BarbosaMKL02,ueKnwQCE3nIJ,toxgene: a template-based data generator for xml,"d barbosa, a mendelzon, j keenleyside, k lyons",2002,toxgene: an extensible template-based data generator for xml.,"d barbosa, ao mendelzon, j keenleyside, ka lyons",0,1
363,363,conf/sigmod/BargaL99,QTzV3iNq2O8J,phoenix: making applications robust,"r barga, d lomet",1999,phoenix project: fault-tolerant applications,"r barga, d lomet",2002,0
388,388,conf/sigmod/BerchtoldK97,lYpquDAEzrIJ,s3: similarity search in cad database systems,"s berchtold, h kriegel",1997,s3: similarity search in cad database systems,hpbs kriegel,0,1
405,405,conf/sigmod/BergstraesserBPS99,JcHiZlbsts0J,versions and workspaces in microsoft repository,"t bergstraesser, p bernstein, s pal, d shutt",1999,context-based prefetch for implementing objects on relations,"pa bernstein, s pal, d shutt",1999,0
410,410,conf/sigmod/BersonGMJ94,gQAPUymwcAIJ,staggered striping in multimedia information systems,"s berson, s ghandeharizadeh, r muntz, x ju",1994,staggered striping in multimedia information systems,"rr muntz, x ju",0,1
419,419,conf/sigmod/BhattacharyaMBNHS02,HtYTQ-fN8ccJ,coordinating backup/recovery and data consistency between database and file systems,"s bhattacharya, c mohan, k brannon, i narang, h hsiao, m subramanian",2002,dbcache: database caching for web application servers,"m altinel, q luo, s krishnamurthy, c mohan, h  ",2002,0
436,436,conf/sigmod/BlakeleyP98,yotsUgKBK44J,microsoft universal data access platform,"j blakeley, m pizzo",1998,microsoft universal data access platform,"ja blakeley, mj pizzo",0,1
439,439,conf/sigmod/BlottRS96,4aSEl4haaq4J,an open storage system for abstract objects,"s blott, l relly, h schek",1996,an open storage system for abstract objects,"s blott, l relly, hj schek",0,1
450,450,conf/sigmod/BohrerBBCFHKKMNRRSUUW97,7OyvdUHeptMJ,infosleuth: semantic integration of information in open and dynamic environments (experience paper),"r jr., w bohrer, r brice, a cichocki, j fowler, a helal, v kashyap, t ksiezyk, g martin, m nodine, m rashid, m rusinkiewicz, r shea, c unnikrishnan, a unruh, d woelk",1997,"dynamic service matchmaking among agents in open information environments, semantic interoperability ","k sycara, m klusch, j lu, s wido",0,0
453,453,conf/sigmod/BohrerBBCFHKKMNRRSUUW97,Htez7173OBUJ,infosleuth: semantic integration of information in open and dynamic environments (experience paper),"r jr., w bohrer, r brice, a cichocki, j fowler, a helal, v kashyap, t ksiezyk, g martin, m nodine, m rashid, m rusinkiewicz, r shea, c unnikrishnan, a unruh, d woelk",1997,infosleuth (1997) agent-based semantic integration of information in open and dynamic environments,r bayardoâ?¦,0,0
457,457,conf/sigmod/BohrerBBCFHKKMNRRSUUW97,fdruJtO0F0UJ,infosleuth: semantic integration of information in open and dynamic environments (experience paper),"r jr., w bohrer, r brice, a cichocki, j fowler, a helal, v kashyap, t ksiezyk, g martin, m nodine, m rashid, m rusinkiewicz, r shea, c unnikrishnan, a unruh, d woelk",1997,"m., and widoff s.: dynamic service matchmaking among agents in open information environments","k sycara, k lu",0,0
474,474,conf/sigmod/Bosworth03,WHGM-Bd3Y8cJ,the future of web services - i,a bosworth,2003,data routing rather than databases: the meaning of the next wave of the web revolution to data  ,a bosworth,0,0
476,476,conf/sigmod/BouguettayaBH99,--PsNHvlpbIJ,"world wide database - integrating the web, corba, and databases","a bouguettaya, b benatallah, l hendra, j beard, k smith, m ouzzani",1999,carnot and infosleuth: database technology and the world wide web,d woelk,1995,0
484,484,conf/sigmod/BozkayaO97,37lliRw_cOQJ,distance-based indexing for high-dimensional metric spaces,"t bozkaya, z ï¿½zsoyoglu",1997,m.(1997). distance-based indexing for high-dimensional metric spaces,to bozkaya,0,1
486,486,conf/sigmod/BratsbergT00,356Jyb4b6rYJ,tutorial: designing an ultra highly available dbms,,2000,designing an ultra highly available dbms (tutorial session),"se bratsberg, ã? torbjã¸rnsen",2000,1
489,489,conf/sigmod/BraumandlKK99,4fjXoCHhe1kJ,database patchwork on the internet,"r braumandl, a kemper, d kossmann",1999,database patchwork on the internet,"r braumandl, a kemper, d kossmann",1999,1
496,496,conf/sigmod/BressanGOT00,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D336587%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,integrating replacement policies in storm: an extensible approach,"c goh, b ooi, s bressan, k tan",2000,integrating replacement policies in storm: an extensible approach,"cl goh, bc ooi, s bressan",0,1
501,501,conf/sigmod/Brewer98,k4UNrsGeUuAJ,delivering high availability for inktomi search engines,e brewer,1998,delivering high availability for inktomi search engines,ea brewer,1998,1
505,505,conf/sigmod/BrinMS97,41B5NuefLPsJ,beyond market baskets: generalizing association rules to correlations,"s brin, r motwani, c silverstein",1997,beyond market basket: generaliing association rules to correlations,"s brin, r motwani, c silverstein",0,1
509,509,conf/sigmod/BrinMS97,Innqdf1794AJ,beyond market baskets: generalizing association rules to correlations,"s brin, r motwani, c silverstein",1997,beyond market: generalizing association rules to correlations,"s brin, r motwani, c silverstein",0,1
522,522,conf/sigmod/BrinMUT97,ZAjbM4H53aUJ,dynamic itemset counting and implication rules for market basket data,"s brin, r motwani, j ullman, s tsur",1997,dynamic itemset counting and implication rules,"s brin, r motwani, j ullman, s tsur",0,1
528,528,conf/sigmod/BrinkhoffKSS94,yp82ArYEGxIJ,multi-step processing of spatial joins,"t brinkhoff, h kriegel, r schneider, b seeger",1994,gene sys: a system for efficient spatial query processing,"t brinkhoff, hp kriegel, r schneider, b seeger",1994,0
536,536,conf/sigmod/BrownCL96,H4A7nUWyXtQJ,goal-oriented buffer management revisited,"k brown, m carey, m livny",1996,goal-oriented buffer management revisited,"kp brown, mj carey, m livny",1996,1
553,553,conf/sigmod/BuchmannDZH95,MoNBLfTlYg0J,the reach active oodbms,"a buchmann, a deutsch, j zimmermann, m higa",1995,the reach active oodbms,"ap buchmann, a deutsch, j zimmermann, m higa",1995,1
556,556,conf/sigmod/BunemanDHS96,AtUsoMh8rY4J,a query language and optimization techniques for unstructured data,"p buneman, s davidson, g hillebrand, d suciu",1996,a query language and optimization techniques for unstructured dataâ» in sigmod,"p buneman, s davidson, g hillebrand, d suciu",0,1
573,573,conf/sigmod/BunemanKTT02,cKIQyzazkYEJ,archiving scientific data,"p buneman, s khanna, k tajima, w tan",2002,archiving scientific data,"p buneman, s khanna, k tajima, wc tan",2004,1
574,574,conf/sigmod/BunemanKTT02,qKK_9Yp_4E4J,archiving scientific data,"p buneman, s khanna, k tajima, w tan",2002,reasoning about keys for xml,"p buneman, s davidson, w fan, c hara, wc tan",2002,0
587,587,conf/sigmod/CandanLLHA01,efYVCK07AwMJ,enabling dynamic content caching for database-driven web sites,"k candan, w li, q luo, w hsiung, d agrawal",2001,enabling dynamic content caching for database-driven web sites,"ks candan, ws li, q luo, wp hsiung, d agrawal",2001,1
590,590,conf/sigmod/Carey00,url:http://portal.acm.org/citation.cfm%3Fid%3D335476%26dl%3DACM%26coll%3Dportal%26CFID%3D11111111%26CFTOKEN%3D2222222,on xml and databases: where's the beef? (panel abstract),m carey,2000,of xml and databases (panel session): where's the beef?,"j widom, a bosworth, b lindsay, m stonebraker, d  ",2000,0
597,597,conf/sigmod/CareyDFHMNSSTTWZ94,0oPBNo-ofPkJ,shoring up persistent applications,"m carey, d dewitt, m franklin, n hall, m mcauliffe, j naughton, d schuh, m solomon, c tan, o tsatalos, s white, m zwilling",1994,shoring up persistent applications,"mj carey, dj dewittâ?¦",0,1
602,602,conf/sigmod/CareyFZ94,_Dtj6cJQFAQJ,fine-grained sharing in a page server oodbms,"m carey, m franklin, m zaharioudakis",1994,"fine-grained sharing in a page server oodbms,&quot; acm sigmod intl","m carey, mj franklin, m zaharioudakis",0,1
608,608,conf/sigmod/CareyMN97,u64n4yMnma4J,"object-relational database systems: principles, products, and challenges (tutorial)",,1997,"object-relational database systems: principles, products, and challenges (tutorial)","mj carey, nm mattos, a nori",0,1
615,615,conf/sigmod/CatarciS94,-qsHBe_0vI4J,query by diagram: a graphical environment for querying databases,"t catarci, g santucci",1994,j. cardiff-graphical interaction with heterogeneous databases-,"t catarci, g santucci",0,0
643,643,conf/sigmod/Chakravarthy97,Hc9_3eDVOpkJ,sentinel: an object-oriented dbms with event-based rules,s chakravarthy,1997,rule management and evaluation: an active dbms perspective,s chakravarthy,1989,0
645,645,conf/sigmod/Chakravarthy97,pCsAI2xXTPoJ,sentinel: an object-oriented dbms with event-based rules,s chakravarthy,1997,sentinel: an object-oriented dbms with event-based rules.,"acms anthology, p edition",0,1
670,670,conf/sigmod/ChangH02,4zxRX5K-YSsJ,minimal probing: supporting expensive predicates for top-k queries,"k chang, s hwang",2002,minimal probing: supporting expensive predicates for top-k queries,"kcc chang, s hwang",2002,1
680,680,conf/sigmod/ChaudhuriD97,4zZ7Lxt4PPIJ,data warehousing and olap for decision support (tutorial),,1997,data warehousing and olap for decision support (tutorial),"s chaudhuri, u dayal",0,1
685,685,conf/sigmod/ChaudhuriDN01,q_bQLiJ-KZAJ,"a robust, optimization-based approach for approximate answering of aggregate queries","s chaudhuri, g das, v narasayya",2001,congressional samples for approximate answering of aggregate queries,"s acharya, pb gibbons, v poosala",0,0
688,688,conf/sigmod/ChaudhuriDY95,aaQEdfkjWN8J,join queries with external text sources: execution and optimization techniques,"s chaudhuri, u dayal, t yan",1995,join queries with external text sources: execution and optimization techniques,"s chaudhuri, u dayal, tw yan",1995,1
692,692,conf/sigmod/ChaudhuriG96,l-Sn0enuHxkJ,optimizing queries over multimedia repositories,"s chaudhuri, l gravano",1996,evaluating top-k selection queries,"s chaudhuri, l gravano",1999,0
717,717,conf/sigmod/ChaudhuriN98,eHM4OCdJA9YJ,autoadmin 'what-if' index analysis utility,"s chaudhuri, v narasayya",1998,autoadmin â??whatifâ?? index analysis utility,"s chaudhuri, v narasayya",0,1
725,725,conf/sigmod/ChaudhuriN98a,Y-kXztd20YQJ,microsoft index tuning wizard for sql server 7.0,"s chaudhuri, v narasayya",1998,microsoft index tuning wizard forsql server 7.0,"s chaudhuri, vr narasayya",0,1
743,743,conf/sigmod/ChenGM01,dyXJODAynUgJ,improving index performance through prefetching,"s chen, p gibbons, t mowry",2001,improving index performance through prefetching,"c shimim, pb gibbons, tc mowny",0,1
745,745,conf/sigmod/ChenJDTW00,5Trj9q_RI8YJ,niagaracq: a scalable continuous query system for internet databases,"j chen, d dewitt, f tian, y wang",2000,niagaracq: a scalable continuous query system for internet databases,"c jian-jun, j dewitt david, f tianâ?¦",0,1
746,746,conf/sigmod/ChenJDTW00,EKNLKC2nEGwJ,niagaracq: a scalable continuous query system for internet databases,"j chen, d dewitt, f tian, y wang",2000,wangy (2000) niagaracq: a scalable continuous query system for internet databases,"j chen, dt dewitt, f tian",0,1
755,755,conf/sigmod/ChenRW02,05ShsIGjnKkJ,xcache: a semantic caching system for xml queries,"l chen, e rundensteiner, s wang",2002,xcache: a semantic caching system for xml queries,"l chen, ea rundensteiner, s wang",2002,1
770,770,conf/sigmod/ChoG00,9MI4jOOqkn4J,synchronizing a database to improve freshness,"j cho, h garcia-molina",2000,the evolution of the web and implications for an incremental crawler,"j cho, h garcia-molina",2000,0
775,775,conf/sigmod/ChoG00,s7K6rICx3fkJ,synchronizing a database to improve freshness,"j cho, h garcia-molina",2000,synchronizing a database to improve freshness,"j cho, h garcia-molina",0,1
777,777,conf/sigmod/ChoG00,zIvpO1L9YaEJ,synchronizing a database to improve freshness,"j cho, h garcia-molina",2000,"estimating frequency of change, 2000","j cho, h garcia-molina",0,0
780,780,conf/sigmod/ChoiC02,Gbom-kbsgJkJ,selectivity estimation for spatio-temporal queries to moving objects,"y choi, c chung",2002,clustering moving objects for spatio-temporal selectivity estimation,"q zhang, x lin",0,0
782,782,conf/sigmod/ChooOLCGBPS96,5awQcPWFBrcJ,prospector: a content-based multimedia server for massively parallel architectures,"s choo, w o'connell, g linderman, h chen, k ganapathi, a biliris, e panagos, d schrader",1996,prospector: a content-based mutimedia object server for massively parallel architectures,"woâ??connell, it ieong, d schraderâ?¦",0,1
799,799,conf/sigmod/ChristophidesCS00,DqHBAYRAtyIJ,on wrapping query languages and efficient xml integration,"v christophides, s cluet, j simï¿½on",2000,on wrapping query languages and efficient xml integration,"v christophides, s cluet, j simã¨on",2000,1
811,811,conf/sigmod/CluetDSS98,lOZF0Ee3rUQJ,your mediators need data conversion!,"s cluet, c delobel, j simï¿½on, k smaga",1998,your mediators need data conversion!,"s cluet, c delobel",0,1
822,822,conf/sigmod/ColeG94,_6wwPJEGUiAJ,optimization of dynamic query evaluation plans,"r cole, g graefe",1994,optimization of dynamic query evaluation plans,"g graefe, r cole",1994,1
829,829,conf/sigmod/CookKWZ96,IXlqb3DCVDgJ,"semi-automatic, self-adaptive control of garbage collection rates in object databases","j cook, a klauser, a wolf, b zorn",1996,effectively controlling garbage collection rates in object databases,"j cook, a klauser, a wolf, b zorn",0,0
836,836,conf/sigmod/Cotton02,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D564792%26type%3Dpdf,implementing xquery,p cotton,2002,implementing xquery,p cotton,0,1
840,840,conf/sigmod/CranorJSS03,eXt7Nvd060MJ,gigascope: a stream database for network applications,"c cranor, t johnson, o spatscheck, v shkapenyuk",2003,"bgigascope: a stream database for network applications,^ in proceedings of the acm international  ","c cranor, t johnson, o spataschek, v shkapenyuk",2003,1
845,845,conf/sigmod/CrescenziMM02,Ph7ZpmdNOPEJ,roadrunner: automatic data extraction from data-intensive web sites,"v crescenzi, g mecca, p merialdo",2002,roadrunner: towards automatic data extraction from large web sites,"v crescenzi, g mecca, p merialdoâ?¦",2001,0
847,847,conf/sigmod/CrescenziMM02,pI0WktymowwJ,roadrunner: automatic data extraction from data-intensive web sites,"v crescenzi, g mecca, p merialdo",2002,roadrunner: automatic data extraction from data-intensive web sites,v crescenzi,2002,1
848,848,conf/sigmod/CrescenziMM02,r3Td_K_A2J4J,roadrunner: automatic data extraction from data-intensive web sites,"v crescenzi, g mecca, p merialdo",2002,wrapper-oriented classification of web pages,"v crescenzi, g mecca, p merialdo",0,0
850,850,conf/sigmod/CruzALRZ97,YWWvQnGCpDEJ,delaunay: a database visualization system,"i cruz, m averbuch, w lucas, m radzyminski, k zhang",1997,delaunay: a database visualization system,"if cruz, m averbuch, wt lucas, m radzyminski, k  ",0,1
865,865,conf/sigmod/DasuJMS02,Qywc8AsElxEJ,"\mining database structure; or, how to build a data quality browser\""""","t dasu, t johnson, s muthukrishnan, v shkapenyuk",2002,mining database structure; or howto build a data quality browser,"t dasu, t johnson, s muthukrishnan, v shkapenyuk",0,1
873,873,conf/sigmod/DattaDTVSR02,0m_Q5tf3oDAJ,proxy-based acceleration of dynamically generated content on the world wide web: an approach and implementation,"a datta, k dutta, h thomas, d vandermeer, s suresha, k ramamritham",2002,"suresha, and k. ramamritham. proxy-based acceleration of dynamically generated content on the world  ","a datta, k dutta, h thomas, d vandermeer",0,1
886,886,conf/sigmod/DattaDTVSR02,orxvLy4vVEQJ,proxy-based acceleration of dynamically generated content on the world wide web: an approach and implementation,"a datta, k dutta, h thomas, d vandermeer, s suresha, k ramamritham",2002,proxy-based acceleration of dynamically generated content on the world wide web: an approach and  ,"a datta, k dutta, h thomas, d vandermeer, k  ",2004,1
903,903,conf/sigmod/DeshpandeNGS03a,pF6EW_yKYyYJ,irisnet: internet-scale resource-intensive sensor services,"a deshpande, s nath, p gibbons, s seshan",2003,irisnet: an architecture for internet-scale sensing services,"s nath, a deshpande, y ke, pb gibbons, b karp, s  ",2003,1
925,925,conf/sigmod/DoanDH01,ShOPf844dK4J,reconciling schemas of disparate data sources: a machine-learning approach,"a doan, p domingos, a halevy",2001,learning to match the schemas of data sources: a multistrategy approach,"ah doan, p domingos, a halevy",2003,0
930,930,conf/sigmod/DogacHKOONDMAKE96,GnjIUQVlZ0UJ,metu interoperable database system,"a dogac, u halici, e kilic, g ï¿½zhan, f ozcan, s nural, c dengi, s mancuhan, i arpinar, p koksal, c evrendilek",1996,metu interoperable database system,al dogac aet,0,1
947,947,conf/sigmod/Dyreson03,UIDFB3gRjlUJ,"temporal coalescing with now, granularity, and incomplete information",c dyreson,2003,"temporal coalescing with now, incomplete information, and granularity",ce dyreson,0,1
955,955,conf/sigmod/Ellison95,ESge0RjQQ40J,keynote address,,1995,keynote address,p brown,0,0
968,968,conf/sigmod/Epstein95,AgpGguTHfGsJ,keynote address,,1995,keynote address,hbn hynes,0,0
969,969,conf/sigmod/Epstein95,ESge0RjQQ40J,keynote address,,1995,keynote address,p brown,0,0
975,975,conf/sigmod/Epstein95,ypIwIw0dXTEJ,keynote address,,1995,keynote address,t bailey,0,0
976,976,conf/sigmod/FabretJLPRS01,8lBDhvljrAEJ,filtering algorithms and implementation for very fast publish/subscribe,"f fabret, h jacobsen, f llirbat, j pereira, k ross, d shasha",2001,filtering algorithms and implementation for very fast publish/subscribe systems,"f fabret, ha jacobsen, f llirbat, j pereira, ka  ",2001,1
