,_id,ltable_id,rtable_id,ltable_title,ltable_authors,ltable_year,rtable_title,rtable_authors,rtable_year,label
489,489,conf/sigmod/BraumandlKK99,4fjXoCHhe1kJ,database patchwork on the internet,"r braumandl, a kemper, d kossmann",1999,database patchwork on the internet,"r braumandl, a kemper, d kossmann",1999,1
8584,8584,journals/tods/Kim94,RETGb_jFnQIJ,charter and scope,w kim,1994,on optimizing an sql-like nested query,w kim,1982,0
1524,1524,conf/sigmod/KalnisP01,-YhMJ43VntgJ,proxy-server architectures for olap,"p kalnis, d papadias",2001,optimization algorithms for simultaneous multidimensional queries in olap environments,"p kalnis, d papadias",0,0
111,111,conf/sigmod/AcharyaAFZ95,_-yXA5HLnqoJ,broadcast disks: data management for asymmetric communications environments,"s acharya, r alonso, m franklin, s zdonik",1995,broadcast disks: data management for asymmetric communications environments,"sa vi, r alonso, m franklin, s zdonik",0,1
685,685,conf/sigmod/ChaudhuriDN01,q_bQLiJ-KZAJ,"a robust, optimization-based approach for approximate answering of aggregate queries","s chaudhuri, g das, v narasayya",2001,congressional samples for approximate answering of aggregate queries,"s acharya, pb gibbons, v poosala",0,0
267,267,conf/sigmod/AltinelABFSZ99,WZDgK2THjbQJ,dbis-toolkit: adaptable middleware for large scale data delivery,"m altinel, d aksoy, t baby, m franklin, w shapiro, s zdonik",1999,dbis toolkit: adaptable middleware for large scale data delivery (demo description),"m altinel, d aksoy, t baby, m franklin, w shapiro, ",0,1
4553,4553,conf/vldb/Mohan02a,pBTSyxiQA04J,an efficient method for performing record deletions and updates using index scans,c mohan,2002,directions in system architectures for high transaction rates,c mohan,0,0
2913,2913,conf/vldb/AgrawalS94,Yt-cq_4cfE8J,fast algorithms for mining association rules in large databases,"r agrawal, r srikant",1994,quest synthetic data generator,"r agrawal, r srikant",0,0
2917,2917,conf/vldb/AgrawalS94,bKp266-v6gUJ,fast algorithms for mining association rules in large databases,"r agrawal, r srikant",1994,fast algorithms for mining association rules in large database,"a rakesh, r srikant",1994,1
8339,8339,journals/tods/AikenHW95,cHpmOFVpTi8J,static analysis techniques for predicting the behavior of active database rules,"a aiken, j hellerstein, j widom",1995,static analysis techniques for predicting the behavior of database production rules,"a aiken, j widom, jm hellerstein",0,1
7320,7320,journals/sigmod/Nascimento03,LAkxIFGnZzYJ,peer-to-peer: harnessing the power of disruptive technologies,m nascimento,2003,"chapter 8: gnutella â??in peer-to-peer harnessing the power of disruptive technologies, a. oram, ed",g kan,2001,0
419,419,conf/sigmod/BhattacharyaMBNHS02,HtYTQ-fN8ccJ,coordinating backup/recovery and data consistency between database and file systems,"s bhattacharya, c mohan, k brannon, i narang, h hsiao, m subramanian",2002,dbcache: database caching for web application servers,"m altinel, q luo, s krishnamurthy, c mohan, h  ",2002,0
886,886,conf/sigmod/DattaDTVSR02,orxvLy4vVEQJ,proxy-based acceleration of dynamically generated content on the world wide web: an approach and implementation,"a datta, k dutta, h thomas, d vandermeer, s suresha, k ramamritham",2002,proxy-based acceleration of dynamically generated content on the world wide web: an approach and  ,"a datta, k dutta, h thomas, d vandermeer, k  ",2004,1
7084,7084,journals/sigmod/Liu01a,skOc65LTInYJ,editor's notes,l liu,2001,editor's notes,r diem,0,0
6,6,conf/sigmod/2000,F9KzvnDpCPUJ,"proceedings of the 2000 acm sigmod international conference on management of data, may 16-18, 2000, dallas, texas, usa",,2000,similarity-based queries for time series data. in: proceedings of the acm sigmod conference on the  ,"d raflei, a mendelzon",1997,0
7849,7849,journals/sigmod/Snodgrass03c,CGvD6Du5kaoJ,developments at acm tods,r snodgrass,2003,reminiscences on influential papers,r snodgrass,1976,0
6629,6629,journals/sigmod/GatziuJSV99,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D1058166%26type%3Dpdf,design and management of data warehouses: report on the dmdw'99 workshop,"s gatziu, m jeusfeld, m staudt, y vassiliou",1999,report on mobide 2003: the 3rd international acm workshop on data engineering for wireless and  ,"s banerjee, m cherniack, v kumar, pk chrysanthis,  ",2005,0
5694,5694,journals/sigmod/Aberer03a,dXGsVhYx06QJ,"report on the first international conference on ontologies, databases and applications of semantics",,2003,"sigirâ??95, proceedings of the 18th annual international acm sigir conference on research and  ","e fox, p ingwersen, r fidel",1995,0
7382,7382,journals/sigmod/OukselS99,OQdoLHJoz88J,semantic interoperability in global information systems: a brief introduction to the research area and the special section,"a ouksel, a sheth",1999,situations in life to support the use and modelling of municipal information systems,wg bleek,0,0
3874,3874,conf/vldb/GravanoG95,a1TYKJbJRREJ,generalizing gloss to vector-space databases and broker hierarchies,"l gravano, h garcia-molina",1995,"a. tomasic,â??gloss: text-source discovery over the internetâ??","l gravano, h garcia-molina",0,0
6855,6855,journals/sigmod/JensenCEGHJ94,rRrT0v_j7tkJ,a consensus glossary of temporal database concepts,"c jensen, j clifford, r elmasri, s gadia, p hayes, s jajodia",1994,a consensus glossary of temporal database concepts,c dyreson,1994,1
9057,9057,journals/vldb/ChakrabartiGRS01,Sd2EpYgsgYEJ,approximate query processing using wavelets,"k chakrabarti, m garofalakis, r rastogi, k shim",2001,approximate query processing using wavelets,"kc cgrs, mn garofalakis, r rastogi, k shim",0,1
3485,3485,conf/vldb/ChoG00,zIvpO1L9YaEJ,the evolution of the web and implications for an incremental crawler,"j cho, h garcia-molina",2000,"estimating frequency of change, 2000","j cho, h garcia-molina",0,0
8731,8731,journals/tods/Snodgrass01,url:http://www.springerlink.com/index/L4H4H12200406465.pdf,editorial,,2001,editorial,p smyth,2003,0
2479,2479,conf/sigmod/Stonebraker03,OiFyf-aJ80cJ,visionary: a next generation visualization system for databases,m stonebraker,2003,"implementationof integrity constraints and views by query modification, proc",m stonebraker,0,0
2210,2210,conf/sigmod/RadekeBBEKKN95,bDN03rZhUQEJ,efendi: federated database system of cadlab,"e radeke, r bï¿½ttger, b burkert, y engel, g kachel, s kolmschlag, d nolte",1995,efendi: federated database system of cadlab,"e radeke, r bã¶ttger, b burkert, y engel, g kachel ",1995,1
9535,9535,journals/vldb/SuHHHLWLPLL01,xcRKDHBIUb8J,an internet-based negotiation server for e-commerce,"s su, c huang, j hammer, y huang, h li, l wang, y liu, c pluempitiwiriyawej, m lee, h lam",2001,an internet-based negotiation server for e-commerce,"syw su, c huang, j hammer, y huang, h li, l wang,  ",2001,1
5890,5890,journals/sigmod/BertinoEH01,SD_PrS659UgJ,quality of service in multimedia digital libraries,"e bertino, a elmagarmid, m hacid",2001,quality of service guarantees for multimedia digital libraries and beyond,g weikum,0,0
6485,6485,journals/sigmod/Franklin98,url:http://portal.acm.org/citation.cfm%3Fid%3D197445,editor's notes,m franklin,1998,continuum of complexity,m franklin,1994,0
2384,2384,conf/sigmod/Shasha97,r2TwyhAdYecJ,"lessons from wall street: case studies in configuration, tuning, and distribution (tutorial)",,1997,"lessons from wall street: case studies in configuration, tuning, and distribution",d shasha,1997,1
7282,7282,journals/sigmod/MedskerCS95,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D202673%26type%3Dpdf%26coll%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,a comparison of three user interfaces to relational microcomputer data bases,"c medsker, m christensen, i song",1995,a comparison of three user interfaces to relational microcomputer data bases,"c medsker, m christensen, iy song",1995,1
7820,7820,journals/sigmod/Snodgrass02b,V1QUdDtkH5AJ,"rights of tods readers, authors and reviewers",r snodgrass,2002,"1. ahn,&quot; a taxonomy of time in databases",r snodgrass,0,0
1268,1268,conf/sigmod/Grust02,rzZxqs428YYJ,accelerating xpath location steps,t grust,2002,xquery on sql hosts,t grust,2004,0
2976,2976,conf/vldb/AmirKN01,dEwdHTZZYWYJ,analyzing quantitative databases: image is everything,"a amir, r kashi, n netanyahu",2001,analyzing quantitative databases: image is everything,"a amir, r kashi, ns netanyahu",2001,1
5448,5448,conf/vldb/WeberSB98,a9BwchkajwgJ,a quantitative analysis and performance study for similarity-search methods in high-dimensional spaces,"r weber, h schek, s blott",1998,the relative performance of pixel and harmonic space methods to search for non-gaussianity in cmb: a ,p cabellaâ?¦,0,0
3129,3129,conf/vldb/BerchtoldKK96,2EJhvKyW8AoJ,the x-tree : an index structure for high-dimensional data,"s berchtold, d keim, h kriegel",1996,the x-tree: an index structure for highdimensional data. 22nd vldb,"s berchtold, da keim, hp kriegel",0,1
2791,2791,conf/sigmod/ZouS96,DYFIQvOg7rgJ,on-line reorganization of sparsely-populated b+trees,"c zou, b salzberg",1996,on-line reorganization of sparsely-populated b+-trees,"c zou, b salzberg",1996,1
2452,2452,conf/sigmod/SrikantA96,OqO-ZxObnjgJ,mining quantitative association rules in large relational tables,"r srikant, r agrawal",1996,mining generalized association rules (expanded version),"r srikant, r agrawal",0,0
4032,4032,conf/vldb/Huyn97,YTgl21ATj54J,multiple-view self-maintenance in data warehousing environments,n huyn,1997,ã¢â?¬ å?multiple-view self-maintenance in data warehousing environmentsã¢â?¬â?,n huyn,0,1
8090,8090,journals/sigmod/Widom95a,p0QHT_9_NSkJ,editor's notes,j widom,1995,editor's notes,"dj rog, d fournier",0,0
5410,5410,conf/vldb/Wadler01,url:http://portal.acm.org/citation.cfm%3Fid%3D645927.672033,"et tu, xml? the downfall of the relational empire (abstract)",p wadler,2001,"et tu, xml? the downfall of the relational empire (abstract)",p wadler,2001,1
2507,2507,conf/sigmod/Stonebraker98,SyOHqrZQEeYJ,are we working on the right problems? (panel),m stonebraker,1998,k a. rowe. the design of postgres,m stonebraker,0,0
2502,2502,conf/sigmod/Stonebraker98,DDyZXuEtGiwJ,are we working on the right problems? (panel),m stonebraker,1998,the case for partial indexes,m stonebraker,1989,0
9467,9467,journals/vldb/ScheuermannWZ98,tfP9wuFDNNYJ,data partitioning and load balancing in parallel disk systems,"p scheuermann, g weikum, p zabback",1998,load balancing and data locality in parallel hierarchial n-body methods,jp singhâ?¦,0,0
3007,3007,conf/vldb/AnandBH94,R46DoTW4ul8J,an empirical performance study of the ingres search accelerator for a large property management database system,"s anand, d bell, j hughes",1994,a database management system for the federal courts,"jr buchanan, rd fennell, h samet",1984,0
5283,5283,conf/vldb/StaudtJ96,6moFnThDHW0J,incremental maintenance of externally materialized views,"m staudt, m jarke",1996,incremental maintenance of externally materialized views,"m staudt, m jarke",1996,1
5967,5967,journals/sigmod/Camps96,mDj9X3EN9ycJ,"domains, relations and religious wars",r camps,1996,"domains, relations and religious wars","s rcamp, i ls",1996,1
1271,1271,conf/sigmod/GuhaJKSY02,z6l0wfs32iYJ,approximate xml joins,"s guha, h jagadish, n koudas, d srivastava, t yu",2002,approximate xml joins,"s guha, n koudas, d srivastava, t yu",0,1
1866,1866,conf/sigmod/MelnikRB03,wfjeWtEY2NcJ,rondo: a programming platform for generic model management,"s melnik, e rahm, p bernstein",2003,rondo: a programming platform for generic model management,"s melnik, e rahm, pa bernstein",2003,1
3902,3902,conf/vldb/GuptaHQ95,dP1tJuCiK2cJ,aggregate-query processing in data warehousing environments,"a gupta, v harinarayan, d quass",1995,"v, harinarayan, and d. quass. aggregatequery processing in data warehousing environments",a gupta,0,1
1813,1813,conf/sigmod/LuoEHN02,7p7mpmvIBrYJ,a scalable hash ripple join algorithm,"g luo, c ellmann, p haas, j naughton",2002,a scalable hash ripple join algorithm,g luo,0,1
2457,2457,conf/sigmod/SrikantA96,ZBuWjiVOE94J,mining quantitative association rules in large relational tables,"r srikant, r agrawal",1996,mining quantitative association rules in large relation tables,"r sirkant, r agrawal",0,1
4922,4922,conf/vldb/Sarawagi95,7GpYSr7yaWAJ,query processing in tertiary memory databases,s sarawagi,1995,user adaptive exploration of olap data cubes,s sarawagi,0,0
2386,2386,conf/sigmod/ShashaB02,6nTs7QjnfDcJ,"database tuning: principles, experiments, and troubleshooting techniques (part ii)","d shasha, p bonnet",2002,database tuning: principles,"d shasha, p bonnet",0,0
5331,5331,conf/vldb/TaoP02,7ZyV9ivZySQJ,adaptive index structures,"y tao, d papadias",2002,adaptive index structures,"y tao, d papadias",2002,1
6876,6876,journals/sigmod/KannanKIK03,F23uT_7Y0AkJ,energy and rate based mac protocol for wireless sensor networks,"r kannan, r kalidindi, s iyengar, v kumar",2003,a network-aware mac and routing protocol for effective load balancing in ad hoc wireless networks  ,"s roy, d saha, s bandyopadhyay, t ueda, s tanaka",2003,0
2816,2816,conf/vldb/AcharyaFZ96,9OEjtHuRUzsJ,disseminating updates on broadcast disks,"s acharya, m franklin, s zdonik",1996,balancing push and pull for data broadcast,"s acharya, m franklin, s zdonik",1997,0
6880,6880,journals/sigmod/KannanKIK03,lDA0JHj5xFAJ,energy and rate based mac protocol for wireless sensor networks,"r kannan, r kalidindi, s iyengar, v kumar",2003,sift: a mac protocol for event-driven wireless sensor networks,"k jamieson, h balakrishnan, yc tay",0,0
2328,2328,conf/sigmod/SaltenisJLL00,zM0o4FoKRXIJ,indexing the positions of continuously moving objects,"s saltenis, c jensen, s leutenegger, m lopez",2000,indexing the positions of continuously moving objects,"cs jensen, ma lopez, st leutenegger, s saltenis",1999,1
8809,8809,journals/tods/WinslettSQ94,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D195675%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,formal query languages for secure relational databases,"m winslett, k smith, x qian",1994,formal query languages for secure relational databases,"k smith, x qian",1994,1
3901,3901,conf/vldb/GuptaHQ95,VCSbj6MwKlgJ,aggregate-query processing in data warehousing environments,"a gupta, v harinarayan, d quass",1995,aggregate-query processing in data warehousing environments,"a gupta, v harinarayan, d quass",1995,1
3693,3693,conf/vldb/FlorescuHKLRWCSA03,7H61ACim640J,the bea/xqrl streaming xquery processor,"d florescu, c hillery, d kossmann, p lucas, f riccardi, t westmann, m carey, a sundararajan, g agrawal",2003,survival after liver transplantation for hepatocellular carcinoma,"a khakhar, e solano, d stell, m bloch, c dale, p  ",2003,0
7525,7525,journals/sigmod/RamamrithamS97,HR-yLNuhtl4J,report on dart '96: databases: active and real-time (concepts meet practice),,1997,report on dart '96: databases: active and real-time (concepts meet practice),"k ramamritham, n soparkar",1997,1
5597,5597,journals/sigmod/Aberer01a,fnt5G2r4MaYJ,book review column,k aberer,2001,peer to peer data management: introduction to a special issue,k aberer,0,0
6135,6135,journals/sigmod/David03,nqs9OXuzECEJ,ansi sql hierarchical processing can fully integrate native xml,m david,2003,a new challenge for compaq,m david,1997,0
2451,2451,conf/sigmod/SrikantA96,KwgLlNLlaTcJ,mining quantitative association rules in large relational tables,"r srikant, r agrawal",1996,mining quantitative association rules in large tables,"r srikant, r agrawal",0,1
4304,4304,conf/vldb/LevyRO96,3v8fGnfTuVMJ,querying heterogeneous information sources using source descriptions,"a levy, a rajaraman, j ordille",1996,querying heteregeneous information sources using source descriptions,"alj ordille, a rajaraman",0,1
3664,3664,conf/vldb/FaloutsosJS97,u_9qWSpjaO4J,recovering information from summary data,"c faloutsos, h jagadish, n sidiropoulos",1997,recovering information from summary data,"c faloutsos, hv jagadish, n sidiropoulos",1997,1
9342,9342,journals/vldb/MaratheS02,z6JEYoArZmsJ,query processing techniques for arrays,"a marathe, k salem",2002,query processing techniques for arrays,"ap marathe, k salem",2002,1
8621,8621,journals/tods/LakshmananSS01,FqrVkPwzd3kJ,schemasql: an extension to sql for multidatabase interoperability,"l lakshmanan, f sadri, s subramanian",2001,schemasql: an extension to sql for multidatabase interoperability,"lvs lakshmanan, f sadri, sn subramanian",2001,1
6437,6437,journals/sigmod/Franklin97a,_SsvlmhsusEJ,editor's notes,m franklin,1997,editor's notes,ja neff,0,0
2271,2271,conf/sigmod/Rosenthal01,g4p3K22hY_oJ,will database researchers have any role in data security? (panel abstract),a rosenthal,2001,outerjoin simplification and reordering for query optimization,a rosenthal,1997,0
4706,4706,conf/vldb/PapadiasMD98,7vbPCi-dbawJ,algorithms for querying by spatial structure,"d papadias, n mamoulis, v delis",1998,algorithms for querying by spatial structure,"d papadias, n mamoulis, v delis",1998,1
4676,4676,conf/vldb/OoiGT98,LJdSx1Di81MJ,fast high-dimensional data search in incomplete databases,"b ooi, c goh, k tan",1998,fast high-dimensional data search in incomplete databases,"bc ooi, ch goh, kl tan",1998,1
8233,8233,journals/sigmod/Winslett02a,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D565127%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,david dewitt speaks out,m winslett,2002,david dewitt speaks out,"s be proud, hsfis very, p spent",2002,1
4242,4242,conf/vldb/LabrinidisR03,0GMNedjfVV0J,balancing performance and data freshness in web database servers,"a labrinidis, n roussopoulos",2003,balancing performance and data freshness in web database servers,"a labrinidis, n roussopoulos",2003,1
4668,4668,conf/vldb/Ogawa96,zQDbTpO9kH4J,effective & efficient document ranking without using a large lexicon,y ogawa,1996,effective and efficient document ranking without using a large lexicon,o yasushi,0,1
8780,8780,journals/tods/TaoP03,2V2bnIgsY1kJ,spatial queries in dynamic environments,"y tao, d papadias",2003,the mv3r-tree: a spatio-temporal access method for timestamp and interval queries - group of 4 &raquo;,"y tao, d papadias",2001,0
2567,2567,conf/sigmod/ThaperGIK02,PBwqFDIQ79UJ,dynamic multidimensional histograms,"n thaper, s guha, p indyk, n koudas",2002,multidimensional dynamic histograms,"n thaper, s guha, p indyk, n koudas",0,1
5933,5933,journals/sigmod/BuchnerM98,-3LEFj2dY-UJ,discovering internet marketing intelligence through online analytical web usage mining,"a bï¿½chner, m mulvenna",1998,discovering internet marketing intelligence through online analytical web usage mining [j],"ag bunchner, md mulvenna",0,1
4594,4594,conf/vldb/Mohan99,x5Po0pdoKcQJ,repeating history beyond aries,c mohan,1999,dbcache: a project on database caching support for web applications,c mohan,0,0
5279,5279,conf/vldb/StanoiRAA01,SBpUQ0L7KUgJ,discovery of influence sets in frequently updated databases,"i stanoi, m riedewald, d agrawal, a abbadi",2001,discovery of influence sets in frequently updated databases,"i stanoi, m riedewald, d agrawal, a el abbadi",2001,1
955,955,conf/sigmod/Ellison95,ESge0RjQQ40J,keynote address,,1995,keynote address,p brown,0,0
3489,3489,conf/vldb/ChoenniV00,3byHG5VH-aEJ,design and implementation of a genetic-based algorithm for data mining,s choenni,2000,design and implementation of ddh: a distributed dynamic hashing algorithm,r devine,1993,0
5972,5972,journals/sigmod/CaplinskasEV02,K2DBqhgH3PYJ,advances in databases and information systems (adbis),"a caplinskas, j eder, o vasilecas",2002,  diagrams in an elementary mathematical data model. advances in databases and information systems,c mancaå?,0,0
7291,7291,journals/sigmod/MeersmanS02,url:http://www.springerlink.com/index/H58452Q268H44281.pdf,guest editor's introduction,,2002,guest editor's introduction,y singer,2001,0
8208,8208,journals/sigmod/Winslett01a,wXfzjYQNxA8J,"gio wiederhold speaks out on moving into academia in mid-career, how to be an effective consultant, why you should be a program manager as a funding agency, the need for ontology algebra and simulations, and more",,2001,"why do citizens want to keep refugees out? threats, fairness, and hostile norms in the treatment of  ","wr louis, j duck, dj terry, r schuller, r lalonde",0,0
573,573,conf/sigmod/BunemanKTT02,cKIQyzazkYEJ,archiving scientific data,"p buneman, s khanna, k tajima, w tan",2002,archiving scientific data,"p buneman, s khanna, k tajima, wc tan",2004,1
8545,8545,journals/tods/GutingBEJLSV00,cURCJR2xHE0J,a foundation for representing and quering moving objects,"r gï¿½ting, m bï¿½hlen, m erwig, c jensen, n lorentzos, m schneider, m vazirgiannis",2000,a foundation for representing and queirying moving objects,"c jensen, mh bã¶hlen, m erwig, m schneider, m  ",0,1
2983,2983,conf/vldb/AnKR03,Z9dkL1yphh8J,improving performance with bulk-inserts in oracle r-trees,"n an, k kanth, s ravada",2003,improving performance with bulk-inserts in oracle r-trees,"n an, s ravada",2003,1
5904,5904,journals/sigmod/BhargavaAP95,ALJ4TObSDlIJ,digital library services in mobile computing,"b bhargava, m annamalai, e pitoura",1995,digital services in mobile computing,"b bhargava, m annamalai, e pitoura",0,1
6230,6230,journals/sigmod/EisenbergM02,-RAYAJbKLNUJ,sql/xml is making good progress,"a eisenberg, j melton",2002,standards in practice,"a eisenberg, j melton",1998,0
7368,7368,journals/sigmod/OrlandicLS02,sIKCC5O8RXQJ,the design of a retrieval technique for high-dimensional data on tertiary storage,"r orlandic, j lukaszuk, c swietlik",2002,on the design of a reliable storage component for distributed database management systems,"da menasce, oe landes",0,0
9058,9058,journals/vldb/ChakrabartiRS03,idfox84uNHUJ,fast and accurate text classification via multiple linear discriminant projections pp,"s chakrabarti, s roy, m soundalgekar",2003,fast and accurate text classification via multiple linear discriminant projections,"s chakrabarti, s roy, mv soundalgekar",2003,1
2055,2055,conf/sigmod/NgLHP98,hQ2iRlFtfGUJ,exploratory mining and pruning optimizations of constrained association rules,"r ng, l lakshmanan, j han, a pang",1998,"j. han, and a. pang.: exploratory mining and pruning optimizations of constrained association rules","r ng, l lakshmanan",0,1
845,845,conf/sigmod/CrescenziMM02,Ph7ZpmdNOPEJ,roadrunner: automatic data extraction from data-intensive web sites,"v crescenzi, g mecca, p merialdo",2002,roadrunner: towards automatic data extraction from large web sites,"v crescenzi, g mecca, p merialdoâ?¦",2001,0
5425,5425,conf/vldb/WangYM97,0qth0oGxonUJ,sting: a statistical information grid approach to spatial data mining,"w wang, j yang, r muntz",1997,"sting: a statistical information grid approach to spatial data mining,''23rd int","w wang, j yang, r muntz",0,1
4420,4420,conf/vldb/Mattos03,EpBlTCJ0_dUJ,integrating information for on demand computing,n mattos,2003,supporting procedural constructs in sql compilers,n mattos,1996,0
4849,4849,conf/vldb/RothS97,GRLUYc-u9X8J,"don't scrap it, wrap it! a wrapper architecture for legacy data sources","m roth, p schwarz",1997,"donâ??t scrap it, wrap it! a wrapper architecture for data sources","mt roth, p schwarz",0,1
2409,2409,conf/sigmod/ShivakumarG97,0s0j1_xOwpYJ,wave-indices: indexing evolving databases,"n shivakumar, h garcia-molina",1997,finding near-replicas of documents on the web,"n shivakumar, h garcia-molina",1999,0
3656,3656,conf/vldb/EvangelidisLS95,hR9tpdTkYkcJ,"the hbp-tree: a modified hb-tree supporting concurrency, recovery and node consolidation","g evangelidis, d lomet, b salzberg",1995,"1995 . the hb -tree: a modified hb-tree supporting concurrency, recovery and node consolidation","g evangelidis, d lomet, b salzberg",0,1
5035,5035,conf/vldb/SeegerBBKSDS01,WYGjQDmRwt8J,xxl - a library approach to supporting efficient implementations of advanced database queries,"j bercken, b blohsfeld, j dittrich, j krï¿½mer, t schï¿½fer, m schneider, b seeger",2001,xxl-a library approach to supporting efficient implementations of advanced database queries,"j van den bercken, b blohsfeld, jp dittrich, j  ",2001,1
3627,3627,conf/vldb/DonjerkovicR99,4U31XD8P478J,probabilistic optimization of top n queries,"d donjerkovic, r ramakrishnan",1999,probabilistic optimization of top n queries,ddr ramakrishnan,1999,1
4623,4623,conf/vldb/MuthOPW98,S0joKxiOuiAJ,"design, implementation, and performance of the lham log-structured history data access method","p muth, p o'neil, a pick, g weikum",1998,performance of the lham log-structured history data access method,"p muth, eon patrick, a pick, g weikum, i design",0,0
4774,4774,conf/vldb/PoulovassilisS94,B87s9MFTeZ8J,investigation of algebraic query optimisation techniques for database programming languages,"a poulovassilis, c small",1994,algebraic query optimisation for database programming languages,"a poulovassilis, c small",1996,0
7236,7236,journals/sigmod/LudwigG00,T7hbL2VkOhsJ,report in isdo '00: the caise*00 workshop on infrastructures for dynamic business-to-business service outsourcinga,,2000,report on isdo'00: the caise* 00 workshop on â??infrastructures for dynamic business-to-business  ,"h ludwig, p grefen",2000,1
8576,8576,journals/tods/KemmeA00,wiUPadLpCvoJ,a new approach to developing and implementing eager database replication protocols,"b kemme, g alonso",2000,a new approach to developing and implementing eager database replication protocols,"b kemme, g alonso",2000,1
