,_id,ltable_id,rtable_id,ltable_title,ltable_authors,ltable_year,rtable_title,rtable_authors,rtable_year,label
3073,3073,conf/vldb/BaralisPT97,tuGrmSkM_PkJ,materialized views selection in a multidimensional database,"e baralis, s paraboschi, e teniente",1997,ande. teniente. materialized view selection in a multidimensional database,"e baralis, s paraboschi",0,1
873,873,conf/sigmod/DattaDTVSR02,0m_Q5tf3oDAJ,proxy-based acceleration of dynamically generated content on the world wide web: an approach and implementation,"a datta, k dutta, h thomas, d vandermeer, s suresha, k ramamritham",2002,"suresha, and k. ramamritham. proxy-based acceleration of dynamically generated content on the world  ","a datta, k dutta, h thomas, d vandermeer",0,1
6555,6555,journals/sigmod/Franklin99a,iDBvvrHwj7YJ,editor's notes,m franklin,1999,"b. j onsson, and d. kossmann. performance tradeoffs for client-server query processing",m franklin,0,0
4518,4518,conf/vldb/Mohan01,pBTSyxiQA04J,caching technologies for web applications,c mohan,2001,directions in system architectures for high transaction rates,c mohan,0,0
2042,2042,conf/sigmod/NazeriBO01,NkZp0BSCrwIJ,experiences in mining aviation safety data,"z nazeri, e bloedorn, p ostwald",2001,recent experiences with data mining in aviation safety (1998),"e harris jr, e bloedorn, nj rothleder",0,0
1209,1209,conf/sigmod/GravanoGT94,81oh7EDAYeoJ,the effectiveness of gloss for the text database discovery problem,"l gravano, h garcia-molina, a tomasic",1994,the effectiveness of gloss for the text database recovery problem,"l gravano, h garcia-molina, a tomasic",0,1
2322,2322,conf/sigmod/SaltenisJLL00,a7v0bHRrpjMJ,indexing the positions of continuously moving objects,"s saltenis, c jensen, s leutenegger, m lopez",2000,bindexing the positions of continuously moving objects,"s saltenis, cs jensen, st leutenegger, ma lopez",0,1
9196,9196,journals/vldb/Halevy02,url:http://www.springerlink.com/index/0YKCKU5LKG6G102T.pdf,guest editorial,,2002,guest editorial,"p atzeni, ao mendelzon",2000,0
8414,8414,journals/tods/Chen95,HEnlcR2tDd0J,declarative updates of relational databases,w chen,1995,query evaluation under the well founded semantics,w chen,0,0
5718,5718,journals/sigmod/Aberer03b,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604274%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,book review column,k aberer,2003,book review column,k aberer,2002,0
7755,7755,journals/sigmod/SilberschatzSU96,_MXfp9GHEqQJ,database research: achievements and opportunities into the 21st century,"a silberschatz, m stonebraker, j ullman",1996,database research: achievements and opportunities into the 21st century. a report of an nsf workshop ,"a siberschatz, m stonebraker, jd ullman",0,1
3483,3483,conf/vldb/ChoG00,s7K6rICx3fkJ,the evolution of the web and implications for an incremental crawler,"j cho, h garcia-molina",2000,synchronizing a database to improve freshness,"j cho, h garcia-molina",0,0
7684,7684,journals/sigmod/Segev94a,skOc65LTInYJ,editor's notes,a segev,1994,editor's notes,r diem,0,0
221,221,conf/sigmod/AgrawalCN01,3s20zaTMLZQJ,materialized view and index selection tool for microsoft sql server 2000,"s agrawal, s chaudhuri, v narasayya",2001,automated selection of materialized views and indexes in microsoft sql server,"a sanjay, c surajit, vr narasayya",0,0
5956,5956,journals/sigmod/BusslerFM02,m56HUW18JKAJ,a conceptual architecture for semantic web enabled web services,"c bussler, d fensel, a maedche",2002,a conceptual architecture for semantic web enabled web services sigmod record,"c bussler, d fensel, a maedche",0,1
3932,3932,conf/vldb/Hallmark95,tiAgO7G7YuAJ,the oracle warehouse,g hallmark,1995,the oracle warehouse,d sources,0,1
8591,8591,journals/tods/Kim94,url:http://portal.acm.org/citation.cfm%3Fid%3D357775%26dl%3DGUIDE%26dl%3DACM%26type%3Dissue%26idx%3DJ777%26part%3Dperiodical%26WantType%3Dperiodical%26title%3DACM%2520Transactions%2520on%2520Database%2520Systems%2520(TODS)%26CFID%3D11111111%26CFTOKEN%3D2222222,charter and scope,w kim,1994,source acm transactions on database systems (tods) archive,w kim,1993,0
8756,8756,journals/tods/Snodgrass01a,url:http://www.springerlink.com/index/LD48KCXJWTCRACDL.pdf,editorial,,2001,editorial,"j harmer, j turnbull",2002,0
35,35,conf/sigmod/2002,QnMrKru1S1MJ,"proceedings of the 2002 acm sigmod international conference on management of data, madison, wisconsin, june 3-6, 2002",,2002,"blocation-based spatial queries,^ in proceedings of the acm international conference on management  ","j zhang, m zhu, d papadias, y tao, dl lee",2003,0
1204,1204,conf/sigmod/GravanoCGP97,IVXOHTW5Lt0J,starts: stanford proposal for internet meta-searching (experience paper),"l gravano, k chang, h garcia-molina, a paepcke",1997,"k., garcia-molina, h., and paepcke, a.(1997). starts: stanford proposal for internet metasearching","l gravano, cc chang",0,1
3414,3414,conf/vldb/ChaudhuriS01,hrj8US8rVX0J,storage and retrieval of xml data using relational databases,,2001,efficient relational storage and retrieval of xml documents,"a schmidt, ml kersten, m windhouwer, f waas",2000,0
8291,8291,journals/sigmod/WinslettCDHZZ02,url:http://portal.acm.org/citation.cfm%3Fid%3D166635.166664%26dl%3DGUIDE%26dl%3DACM%26idx%3DJ689%26part%3Dperiodical%26WantType%3Dperiodical%26title%3DACM%2520SIGMOD%2520Record%26CFID%3D11111111%26CFTOKEN%3D2222222,database research at the university of illinois at urbana-champaign,"m winslett, k chang, a doan, j han, c zhai, y zhou",2002,database research at the university of twente,"pmg apers, h balsters, hm blanken, ra de by, maw  ",1993,0
7138,7138,journals/sigmod/Liu02b,p0QHT_9_NSkJ,editor's notes,l liu,2002,editor's notes,"dj rog, d fournier",0,0
7942,7942,journals/sigmod/Suciu01,D45fvUWVon0J,on database theory and xml,d suciu,2001,query decomposition and view maintenance for query languages for unstructured data,d suciu,1996,0
5223,5223,conf/vldb/SrikantA95,K1nbpKn1IbsJ,mining generalized association rules,"r srikant, r agrawal",1995,mining generalized association rules. in: proc of 21th int'l conf very large data bases,"r srikant, r agrawal",1995,1
8418,8418,journals/tods/Chen95a,HEnlcR2tDd0J,query evaluation in deductive databases with alternating fixpoint semantics,w chen,1995,query evaluation under the well founded semantics,w chen,0,0
2156,2156,conf/sigmod/ParkCY95,CG-_La4oAYkJ,an effective hash based algorithm for mining association rules,"j park, m chen, p yu",1995,an efficient algorithm for mining association rules in large databases,s ashok,0,0
7822,7822,journals/sigmod/Snodgrass02b,l7ElxBfCtFgJ,"rights of tods readers, authors and reviewers",r snodgrass,2002,performance evaluation of a temporal database management system,r snodgrass,0,0
3530,3530,conf/vldb/ColletCS94,Iap8Eg0Sm8oJ,naos - efficient and modular reactive capabilities in an object-oriented database system,"c collet, t coupaye, t svensen",1994,naos: efficient and modular capabilities in an object-oriented database system,"c collet, t coupaye, t svensen",0,1
6355,6355,journals/sigmod/FowlerPNB99,VgTAaMMYkvAJ,agent-based semantic interoperability in infosleuth,"j fowler, b perry, m nodine, b bargmeyer",1999,agent-based semantic interoperability in infosleuth,"m nodine, b perry, b bargmeyer",0,1
3242,3242,conf/vldb/Brin95,sMTC_d3fbYcJ,near neighbor search in large metric spaces,s brin,1995,lawrenece page. the anatomy of a lorge-scale hypertextual web search engine [c],s brin,0,0
3935,3935,conf/vldb/HalversonBKKRTVWND03,JvthmGX_uoQJ,mixed mode xml query processing,"a halverson, j burger, l galanis, a kini, r krishnamurthy, a rao, f tian, s viglas, y wang, j naughton, d dewitt",2003,locating data sources in large distributed systems,"l galanis, y wang, sr jeffery, dj dewitt",2003,0
7891,7891,journals/sigmod/SnodgrassACFLLORRSV99,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D290599%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,reminiscences on influential papers,,1999,reminiscences on influential papers,hgm stanlbrd,1998,0
9012,9012,journals/vldb/Bertino94,ylP7n4GU-DQJ,index configuration in object-oriented databases,e bertino,1994,index configuration in object-oriented databases,e bertino,1994,1
4265,4265,conf/vldb/LakshmananSS96,Yuccv3uXgUQJ,schemasql - a language for interoperability in relational multi-database systems,"l lakshmanan, f sadri, i subramanian",1996,a language for interoperability in relational mulitdatabase systems,"s lakshaman, s subramanian",1996,1
553,553,conf/sigmod/BuchmannDZH95,MoNBLfTlYg0J,the reach active oodbms,"a buchmann, a deutsch, j zimmermann, m higa",1995,the reach active oodbms,"ap buchmann, a deutsch, j zimmermann, m higa",1995,1
7069,7069,journals/sigmod/Liu01,p0QHT_9_NSkJ,editor's notes,,2001,editor's notes,"dj rog, d fournier",0,0
3431,3431,conf/vldb/ChaudhuriS96,hk2lzbke6hQJ,optimization of queries with user-defined predicates,"s chaudhuri, k shim",1996,optimization of predicates with user-defined predicates,"s chaudhuri, k shim",0,1
2272,2272,conf/sigmod/Rosenthal01,oD81g1krEKEJ,will database researchers have any role in data security? (panel abstract),a rosenthal,2001,anatomy of a mudular multiple query optimizer,a rosenthal,1988,0
976,976,conf/sigmod/FabretJLPRS01,8lBDhvljrAEJ,filtering algorithms and implementation for very fast publish/subscribe,"f fabret, h jacobsen, f llirbat, j pereira, k ross, d shasha",2001,filtering algorithms and implementation for very fast publish/subscribe systems,"f fabret, ha jacobsen, f llirbat, j pereira, ka  ",2001,1
5939,5939,journals/sigmod/BunemanLSTW94,GruVHotOoPQJ,comprehension syntax,"p buneman, l libkin, d suciu, v tannen, l wong",1994,comprehenstion syntax,"p buneman, l libkin, d suciu, v tannen, l wong",0,1
4929,4929,conf/vldb/Sarawagi95,W_CVz6V80csJ,query processing in tertiary memory databases,s sarawagi,1995,"explaining differences in multidimensional aggregates, vldbâ??99",s sarawagi,0,0
1135,1135,conf/sigmod/GeorgeH97,66YaiNqq000J,secure transaction processing in firm real-time database systems,"b george, j haritsa",1997,commit processing in distributed secure and real-time transaction processing systems,pk nagaraj,1998,0
2444,2444,conf/sigmod/Spiro98,u4ZAi-DRoHkJ,"ubiquitous, self-tuning, scalable servers",p spiro,1998,"ubiquitous, self-tuning, scalable servers",p spiro,0,1
6895,6895,journals/sigmod/Kemper02,31XuRNIm2TMJ,databases and transaction processing: an application-oriented approach - book review,a kemper,2002,"0. moerkotte,â??access support in object basesâ??",a kemper,0,0
7089,7089,journals/sigmod/Liu01a,xgdBJbatYcIJ,editor's notes,l liu,2001,editor's notes,wmk trochim,0,0
1235,1235,conf/sigmod/GrayHOS96,5cw83MyqYrMJ,the dangers of replication and a solution,"j gray, p helland, p o'neil, d shasha",1996,the dangers of replication and a solution,"d shasha, po'neil, j gray, p helland",0,1
55,55,conf/sigmod/2002,vfTH6FzOpDAJ,"proceedings of the 2002 acm sigmod international conference on management of data, madison, wisconsin, june 3-6, 2002",,2002,data modeling of time-based media. in: proceedings of the 1994 acm sigmod international conference  ,"s gibbs, c breiteneder, d tsichritzis",1994,0
4711,4711,conf/vldb/PapadiasT01,JtQbB9D7zkwJ,mv3r-tree: a spatio-temporal access method for timestamp and interval queries,"y tao, d papadias",2001,mv3r-tree: a spatio-temporal access method for timestamp and interval queries,"t yufei, d papadias",2000,1
7899,7899,journals/sigmod/SnodgrassHMOPRRWY98,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D290599%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,reminiscences on influential papers,,1998,reminiscences on influential papers,hgm stanlbrd,1998,0
7095,7095,journals/sigmod/Liu01b,ntqMqfgRXM4J,editor's notes,l liu,2001,editor's notes,r goldstein,1996,0
8022,8022,journals/sigmod/Wedekind94,785fjqMo-nkJ,"\are the terms \""\""version\""\"" and \""\""variant\""\"" orthogonal to one another? a critical assessment of the step standardization\""""",h wedekind,1994,on the selection of access paths in a data base system,h wedekind,0,0
3873,3873,conf/vldb/GravanoG95,Gzr2235rJLsJ,generalizing gloss to vector-space databases and broker hierarchies,"l gravano, h garcia-molina",1995,"generalizing gloss to vector-space databases and broker hierarchies, 1995",l gravano,0,1
6425,6425,journals/sigmod/Franklin97,dO8czlfdENQJ,editor's notes,,1997,editor's notes,rh silkman,0,0
3401,3401,conf/vldb/ChaudhuriN97,99oqRZGWAYMJ,an efficient cost-driven index selection tool for microsoft sql server,"s chaudhuri, v narasayya",1997,autoadmin'what-if'index analysis utility,"s chaudhuri, v narasayya",0,0
1362,1362,conf/sigmod/HanKS97,_EEZCcB1BPYJ,geominer: a system prototype for spatial data mining,"j han, k koperski, n stefanovic",1997,geominer: a system prototype for spatial mining,"j han, k koperski, n stefanovic",0,1
5266,5266,conf/vldb/SrinivasaK03,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D1101956%26type%3Dpdf,a platform based on the multi-dimensional data model for analysis of bio-molecular structures,"s srinivasa, s kumar",2003,"a strategy for efficient verification of relational specifications, based on monotonicity analysis","mf frias, r gamarra, g steren, l bourg",2005,0
5020,5020,conf/vldb/ScheuermannSV96,N3Hyyb1Qw8sJ,watchman : a data warehouse intelligent cache manager,"p scheuermann, j shim, r vingralek",1996,a data warehouse intelligent cache manager proc. of the 22nd int,"p scheuermann, j shim, rv watchman",0,1
3314,3314,conf/vldb/CarneyCZRCS03,JubkWSUFbbcJ,operator scheduling in a data stream manager,"d carney, u ï¿½etintemel, a rasin, s zdonik, m cherniack, m stonebraker",2003,operator scheduling in a data stream manager,"d carney, u cetintemel, a rasin, s zdonik, m  ",2003,1
8399,8399,journals/tods/ChakrabartiKMP02,TSci5IFXdKAJ,locally adaptive dimensionality reduction for indexing large time series databases,"k chakrabarti, e keogh, s mehrotra, m pazzani",2002,  simple dimensionality reduction technique for fast similarity search in large time series databases,"ej keogh, mj pazzani",0,0
9545,9545,journals/vldb/TurkerG01,Jab63JLU3N0J,semantic integrity support in sql: 1999 and commercial (object-)relational database management systems,"c tï¿½rker, m gertz",2001,semantic integrity support in sql: 1999 and commercial (object-) relational database management  ,"c tã¼rker, m gertz",2001,1
7855,7855,journals/sigmod/Snodgrass03c,VwZQmafqkE0J,developments at acm tods,r snodgrass,2003,the temporal query language tquel,r snodgrass,1987,0
496,496,conf/sigmod/BressanGOT00,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D336587%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,integrating replacement policies in storm: an extensible approach,"c goh, b ooi, s bressan, k tan",2000,integrating replacement policies in storm: an extensible approach,"cl goh, bc ooi, s bressan",0,1
3823,3823,conf/vldb/GoldmanW97,Ol886Ck3jz4J,dataguides: enabling query formulation and optimization in semistructured databases,"r goldman, j widom",1997,wsq/dsq: a practical approach for combined querying of databases and the web,"r goldman, j widom",2000,0
5304,5304,conf/vldb/Suciu96a,1sGr4qMsCeMJ,implementation and analysis of a parallel collection query language,d suciu,1996,management of semistructured data,d suciu,1997,0
4501,4501,conf/vldb/Mohan01,IGS3TtqfKUgJ,caching technologies for web applications,c mohan,2001,application servers: born-again tp monitors for the web?,c mohan,2001,0
4443,4443,conf/vldb/MedianoCD94,qwjRkZuiMHsJ,v-trees - a storage method for long vector data,"m mediano, m casanova, m dreux",1994,v-trees-a storage method for long vector data,mr mediano,1994,1
6057,6057,journals/sigmod/ConradEHRSSSV97,SBnqbyQF3SoJ,research issues in federated database systems: report of efdbs '97 workshop,,1997,research issues in federated database systems: report of efdbs'97 workshop,"s conrad, b eaglestone, w hasselbring, m roantree, ",1997,1
6240,6240,journals/sigmod/EisenbergM98,-RAYAJbKLNUJ,standards in practice,"a eisenberg, j melton",1998,standards in practice,"a eisenberg, j melton",1998,1
4719,4719,conf/vldb/PapadiasZMT03,FBp7oibu4ygJ,query processing in spatial network databases,"d papadias, j zhang, n mamoulis, y tao",2003,analysis of predictive spatio-temporal queries,"y tao, j sun, d papadias",2003,0
8513,8513,journals/tods/FukudaMMT01,_2f7zWIzK0QJ,data mining with optimized two-dimensional association rules,"t fukuda, y morimoto, s morishita, t tokuyama",2001,"data mining using two-dimensional optimized association rules for numeric attributes: scheme,  ","t fukuda, y morimoto, s morishita, t tokuyama",0,1
6038,6038,journals/sigmod/CherniakV03,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D290599%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,reminiscences on influential papers,,2003,reminiscences on influential papers,hgm stanlbrd,1998,0
8844,8844,journals/vldb/AbbadiSW01,url:http://www.ingentaconnect.com/search/expand%3Fpub%3Dinfobike://els/13891286/2000/00000034/00000006/art00152%26unc%3D,guest editorial,,2001,guest editorial,c allocchio,2000,0
2819,2819,conf/vldb/AcharyaFZ96,ccEW59Ac84MJ,disseminating updates on broadcast disks,"s acharya, m franklin, s zdonik",1996,disseminating updates on broadcast disks,"s acharya, mj franklin, s zdonik",1996,1
6298,6298,journals/sigmod/Etzion99,url:http://portal.acm.org/citation.cfm%3Fid%3D344816.344820%26dl%3DGUIDE%26dl%3DACM%26idx%3DJ689%26part%3Dperiodical%26WantType%3Dperiodical%26title%3DACM%2520SIGMOD%2520Record%26CFID%3D11111111%26CFTOKEN%3D2222222,report on ngits'99: the 4th international workshop on next generation information technologies and systems,,1999,report on ngits'99: the fourth international workshop on next generation information technologies  ,o etzion,1999,1
6221,6221,journals/sigmod/EisenbergM01,4mD1eFCHKKwJ,sql/xml and the sqlx informal group of companies,"a eisenberg, j melton",2001,sql standardization: the next steps,"a eisenberg, j melton",2000,0
5299,5299,conf/vldb/Suciu96,GwvN1w9_ZZoJ,query decomposition and view maintenance for query languages for unstructured data,d suciu,1996,query decomposition for unstructured query languages,d suciu,0,1
1446,1446,conf/sigmod/HsiaoN00,iY5wlS4jsg0J,dlfm: a transactional resource manager,"h hsiao, i narang",2000,dlfm: a transactional resource manager,"hi hsiao, i narang",2000,1
3201,3201,conf/vldb/Blum99,IYir-gWyKiUJ,microsoft english query 7.5: automatic extraction of semantics from relational databases and olap cubes,a blum,1999,genetic improvement of drought resistance in crop plants: a case for sorghum,a blum,0,0
509,509,conf/sigmod/BrinMS97,Innqdf1794AJ,beyond market baskets: generalizing association rules to correlations,"s brin, r motwani, c silverstein",1997,beyond market: generalizing association rules to correlations,"s brin, r motwani, c silverstein",0,1
7840,7840,journals/sigmod/Snodgrass03b,PmIVKWJ5_V4J,journal relevance,r snodgrass,2003,journal relevance,r snodgrass,2003,1
8884,8884,journals/vldb/ApersCS02,-5ehGhCEl4wJ,editorial,,2002,editorial,dw aha,1997,0
4625,4625,conf/vldb/MuthOPW98,cy0zVqmNba4J,"design, implementation, and performance of the lham log-structured history data access method","p muth, p o'neil, a pick, g weikum",1998,"design, implementation, and performance of the lham log-structured history data access method","p muth, a pick, g weikum",1998,1
7312,7312,journals/sigmod/MusickC99,U8aV2wgTNdYJ,practical lessons in supporting large-scale computational science,"r musick, t critchlow",1999,practical lessons in supporting large-scale computational science.,acms anthology,1999,1
4193,4193,conf/vldb/KornSFSP96,qdLbwgIRnvgJ,fast nearest neighbor search in medical image databases,"f korn, n sidiropoulos, c faloutsos, e siegel, z protopapas",1996,z. protopapas fast nearest neighbor search in medical image databases in proc,"f korn, n sidiropoulos, c faloutsos, e siegel",0,1
6548,6548,journals/sigmod/Franklin99,zMW_rq3S6VgJ,editor's notes,m franklin,1999,editor's notes,te cyrs,0,0
4069,4069,conf/vldb/JaedickeM99,MswqiEweEGUJ,user-defined table operators: enhancing extensibility for ordbms,"m jaedicke, b mitschang",1999,on parallel processing of aggregate and scalar functions in object-relational dbms,"m jaedicke, b mitschang",1998,0
5233,5233,conf/vldb/SrikantA95,cYUloixbsjsJ,mining generalized association rules,"r srikant, r agrawal",1995,"mining sequential patterns: generalization and performance improvements, advances in database  ","r srikant, r agrawal",1996,0
6716,6716,journals/sigmod/Hammer02,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D381889%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,report on the acm fourth international workshop on data warehousing and olap (dolap 2001),,2002,workshop report: the first international workshop on active and real-time database systems (artdb-95 ,"m berndtsson, j hansson",1996,0
